"GO.ID";"GO.colors";"GO.Terms.GOID";"GO.Terms.TERM";"Term";"Annotated";"Significant";"Expected";"classicFisher";"GO.IC"
"GO:0000096";"turquoise";"GO:0000096";"sulfur amino acid metabolic process";"sulfur amino acid metabolic process";24;2;0,32;0,03909;7,60430691421448
"GO:0000097";"turquoise";"GO:0000097";"sulfur amino acid biosynthetic process";"sulfur amino acid biosynthetic process";14;2;0,18;0,01403;8,49527983810435
"GO:0000272";"black";"GO:0000272";"polysaccharide catabolic process";"polysaccharide catabolic process";15;3;0,2;0,00089;8,32342958117769
"GO:0001704";"brown";"GO:0001704";"formation of primary germ layer";"formation of primary germ layer";77;4;1,01;0,0183;6,80196044168954
"GO:0001707";"brown";"GO:0001707";"mesoderm formation";"mesoderm formation";62;4;0,81;0,00876;7,12473383395259
"GO:0001893";"brown";"GO:0001893";"maternal placenta development";"maternal placenta development";25;2;0,33;0,04214;8,04899273547593
"GO:0003071";"blue";"GO:0003071";"renal system process involved in regulation of systemic arterial blood pressure";"renal system process involved in regulat...";25;2;0,33;0,04214;8,00977202232264
"GO:0003146";"brown";"GO:0003146";"heart jogging";"heart jogging";11;2;0,14;0,0087;8,86997328754576
"GO:0003171";"brown";"GO:0003171";"atrioventricular valve development";"atrioventricular valve development";11;2;0,14;0,0087;8,78296191055613
"GO:0003188";"brown";"GO:0003188";"heart valve formation";"heart valve formation";7;2;0,09;0,00344;9,32195841128881
"GO:0003197";"brown";"GO:0003197";"endocardial cushion development";"endocardial cushion development";39;3;0,51;0,01429;7,53019894206076
"GO:0003207";"brown";"GO:0003207";"cardiac chamber formation";"cardiac chamber formation";9;2;0,12;0,00579;9,07064398300791
"GO:0003208";"brown";"GO:0003208";"cardiac ventricle morphogenesis";"cardiac ventricle morphogenesis";38;3;0,5;0,01332;7,41772095863407
"GO:0003209";"brown";"GO:0003209";"cardiac atrium morphogenesis";"cardiac atrium morphogenesis";18;2;0,24;0,0228;8,17682610698581
"GO:0003214";"brown";"GO:0003214";"cardiac left ventricle morphogenesis";"cardiac left ventricle morphogenesis";5;2;0,07;0,00167;9,65843064791003
