Species	1-313	314-693	694-1066	1067-1545	1546-1962	1963-2211	2212-2392	2393-2611	2612-2959	2960-3413	3414-3725	3726-4173	4174-4356	4357-4817	4818-5098	5099-5388	5389-5878	5879-6524	6525-6900	6901-7301	7302-7590	7591-7808	7809-8291	8292-8506	8507-8761	8762-9206	9207-9424	9425-9694	9695-9852	9853-10081	10082-10408	10409-10755	10756-10943	10944-11231	11232-11758	11759-12162	12163-12897	12898-13423	13424-13809	13810-14081	14082-14334	14335-14669	14670-15003	15004-15179	15180-15404	15405-16027	16028-16580	16581-16976	16977-17323	17324-17688	17689-17898	17899-18429	18430-18686	18687-18907	18908-19243	19244-19648	19649-19899	19900-20060	20061-20344	20345-20588	20589-20772	20773-21359	21360-21516	21517-22006	22007-22421	22422-22660	22661-22983	22984-23183	23184-23727	23728-24105	24106-24427	24428-24686	24687-24853	24854-25208	25209-25420	25421-25656	25657-26008	26009-26330	26331-26593	26594-26980	26981-27117	27118-27408	27409-27558	27559-27797	27798-28571	28572-28794	28795-29063	29064-29289	29290-29624	29625-29929	29930-30113	30114-30430	30431-30566	30567-30825	30826-30969	30970-31284	31285-31771	31772-32069	32070-32310	32311-32471	32472-32822	32823-33135	33136-33393	33394-34031	34032-34269	34270-34580	34581-34857	34858-35658	35659-35867	35868-36014	36015-36502	36503-36702	36703-37206	37207-37571	37572-38171	38172-38294	38295-38553	38554-38840	38841-39187	39188-39370	39371-39781	39782-40419	40420-41336	41337-41577	41578-41752	41753-41924	41925-42399	42400-42585	42586-43195	43196-43408	43409-43544	43545-43824	43825-44384	44385-44808	44809-44985	44986-45128	45129-45364	45365-45642	45643-45866	45867-46293	46294-46799	46800-47015	47016-47386	47387-47893	47894-49295	49296-49629	49630-49790	49791-50044	50045-50546	50547-50776	50777-51166	51167-51393	51394-51619	51620-51861	51862-52025	52026-52361	52362-52644	52645-52808	52809-53063	53064-53220
Aphrocallistes_vastus	88.81789137380191	94.47368421052632	92.76139410187668	93.73695198329854	89.20863309352518	89.1566265060241	83.42541436464089	86.3013698630137	87.64367816091954	87.44493392070484	98.71794871794872	84.59821428571429	94.53551912568307	77.2234273318872	89.6797153024911	94.13793103448276	84.08163265306122	84.05572755417957	81.91489361702128	91.77057356608479	90.31141868512111	95.41284403669725	88.6128364389234	97.67441860465117	85.49019607843137	93.70786516853933	94.4954128440367	95.18518518518519	86.70886075949367	81.6593886462882	81.34556574923548	84.72622478386167	87.23404255319149	87.15277777777777	0.0	90.34653465346534	0.0	85.74144486692015	91.45077720207254	88.97058823529412	74.30830039525692	78.2089552238806	97.0059880239521	84.0909090909091	95.55555555555556	79.7752808988764	79.74683544303798	87.87878787878788	85.30259365994236	67.12328767123287	78.0952380952381	92.84369114877589	70.42801556420233	0.0	80.6547619047619	77.28395061728395	71.71314741035857	81.98757763975155	78.87323943661971	77.45901639344262	78.26086956521739	78.8756388415673	87.26114649681529	86.93877551020408	88.91566265060241	81.17154811715481	86.06811145510837	88.5	83.08823529411765	85.97883597883597	75.77639751552795	96.13899613899613	86.82634730538922	0.0	88.67924528301887	90.2542372881356	84.0909090909091	81.98757763975155	79.08745247148289	72.86821705426357	90.51094890510949	72.5085910652921	82.0	62.76150627615063	93.28165374677002	76.68161434977578	84.75836431226766	78.31858407079646	84.4776119402985	86.88524590163934	71.19565217391305	94.00630914826499	75.73529411764706	84.94208494208495	85.41666666666667	66.03174603174602	85.01026694045174	87.91946308724832	61.82572614107884	73.91304347826087	81.19658119658119	85.62300319488818	74.8062015503876	93.57366771159874	78.99159663865547	57.234726688102896	83.39350180505414	94.7565543071161	97.60765550239235	82.31292517006803	71.51639344262296	76.0	0.0	89.58904109589041	74.66666666666667	95.1219512195122	85.71428571428571	85.71428571428571	82.9971181556196	89.07103825136612	0.0	73.35423197492163	75.02726281352236	87.55186721991701	77.71428571428572	83.72093023255815	83.15789473684211	72.04301075268818	54.91803278688525	84.03755868544602	0.0	87.14285714285714	59.107142857142854	69.81132075471697	68.36158192090396	83.21678321678321	0.0	82.73381294964028	94.19642857142857	53.86416861826698	88.3399209486166	65.74074074074073	79.24528301886792	60.74950690335306	68.1169757489301	77.54491017964072	84.472049689441	57.08661417322835	57.76892430278885	65.21739130434783	80.25641025641025	94.27312775330397	62.389380530973455	88.4297520661157	62.80487804878049	66.07142857142857	81.2720848056537	69.51219512195122	58.03921568627451	59.87261146496815
Aulocalyx_serialis	85.94249201277955	89.73684210526315	0.0	86.84759916492693	89.44844124700239	87.14859437751004	83.42541436464089	88.58447488584474	87.64367816091954	84.58149779735683	0.0	74.55357142857143	0.0	77.87418655097613	83.27402135231317	0.0	0.0	77.08978328173374	62.765957446808514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.8936170212766	85.41666666666667	60.3415559772296	88.11881188118812	91.29251700680273	85.36121673003802	80.56994818652849	0.0	0.0	78.50746268656717	99.7005988023952	0.0	96.0	73.19422150882825	0.0	0.0	0.0	0.0	78.0952380952381	88.32391713747646	0.0	77.37556561085972	77.08333333333333	75.80246913580247	0.0	0.0	96.47887323943662	0.0	77.17391304347827	74.95741056218058	0.0	76.12244897959184	88.43373493975903	0.0	0.0	0.0	83.63970588235294	0.0	71.11801242236025	0.0	0.0	0.0	0.0	80.9322033898305	0.0	0.0	0.0	41.08527131782946	87.5912408759124	72.5085910652921	0.0	0.0	59.94832041343669	0.0	0.0	80.08849557522123	71.64179104477611	0.0	71.19565217391305	0.0	0.0	84.55598455598455	0.0	0.0	0.0	0.0	0.0	74.53416149068323	0.0	80.19169329073483	0.0	61.755485893416925	0.0	66.55948553054662	83.39350180505414	96.37952559300874	0.0	0.0	0.0	77.0	98.21428571428571	0.0	75.5	0.0	0.0	0.0	0.0	0.0	85.88807785888078	0.0	74.80916030534351	81.32780082987551	0.0	0.0	78.52631578947368	0.0	0.0	88.73239436619718	0.0	0.0	0.0	49.29245283018868	0.0	0.0	0.0	0.0	0.0	52.92740046838407	0.0	0.0	0.0	0.0	68.33095577746077	0.0	0.0	0.0	60.1593625498008	0.0	0.0	47.136563876651984	0.0	89.25619834710744	65.85365853658536	0.0	0.0	0.0	0.0	0.0
Bolosoma_cyanae	87.8594249201278	94.73684210526315	94.63806970509384	94.36325678496868	88.00959232613909	87.14859437751004	83.42541436464089	88.58447488584474	87.64367816091954	77.7533039647577	0.0	81.91964285714286	98.90710382513662	78.30802603036877	91.1032028469751	93.79310344827586	85.10204081632654	84.36532507739938	85.1063829787234	91.2718204488778	0.0	84.86238532110092	90.06211180124224	0.0	85.88235294117646	93.03370786516854	0.0	0.0	0.0	81.22270742358079	97.85932721712538	85.5907780979827	93.61702127659575	86.80555555555556	86.52751423149905	89.35643564356435	62.585034013605444	80.41825095057034	89.37823834196891	88.6029411764706	0.0	78.50746268656717	93.41317365269461	0.0	96.0	78.49117174959872	81.73598553345388	0.0	86.1671469740634	82.1917808219178	58.095238095238095	84.36911487758945	82.87937743190662	78.73303167420815	87.20238095238095	77.03703703703704	70.5179282868526	83.22981366459628	79.92957746478874	78.68852459016394	80.97826086956522	70.6984667802385	86.62420382165605	91.83673469387755	88.91566265060241	83.26359832635984	0.0	94.0	82.53676470588235	0.0	0.0	0.0	94.0119760479042	58.59154929577465	89.62264150943396	0.0	89.20454545454545	79.8136645962733	75.2851711026616	81.3953488372093	80.2919708029197	72.5085910652921	81.33333333333333	62.76150627615063	0.0	75.33632286995515	0.0	74.77876106194691	85.3731343283582	85.90163934426229	73.91304347826087	94.95268138801262	86.02941176470588	81.85328185328186	0.0	65.71428571428572	93.83983572895278	83.89261744966443	63.90041493775934	65.83850931677019	83.47578347578347	75.71884984025559	0.0	89.0282131661442	0.0	68.81028938906752	69.31407942238268	96.8789013732834	0.0	0.0	73.5655737704918	74.0	0.0	84.10958904109589	0.0	0.0	76.83397683397683	0.0	74.92795389048992	0.0	0.0	78.36990595611286	75.13631406761178	87.96680497925311	86.85714285714286	0.0	52.21052631578947	70.96774193548387	55.24590163934426	78.87323943661971	0.0	84.28571428571429	58.92857142857143	66.50943396226415	83.61581920903954	80.41958041958043	59.74576271186441	0.0	0.0	53.62997658079625	0.0	0.0	0.0	0.0	16.333808844507843	0.0	0.0	57.08661417322835	57.96812749003984	65.21739130434783	74.35897435897436	48.01762114537445	78.31858407079646	78.92561983471074	0.0	0.0	65.01766784452298	0.0	0.0	70.70063694267516
Caulophacus_discohexaster	89.45686900958466	92.63157894736842	93.5656836461126	95.4070981210856	89.44844124700239	87.95180722891567	60.773480662983424	87.21461187214612	89.65517241379311	87.66519823788546	0.0	84.15178571428571	0.0	77.87418655097613	90.39145907473309	93.79310344827586	84.08163265306122	82.6625386996904	84.57446808510639	94.76309226932668	0.0	0.0	90.6832298136646	0.0	85.49019607843137	93.70786516853933	0.0	0.0	0.0	79.91266375545851	85.3211009174312	0.0	0.0	88.54166666666667	86.71726755218216	85.64356435643565	92.65306122448979	89.54372623574145	89.11917098445596	0.0	79.05138339920948	72.83582089552239	0.0	0.0	95.55555555555556	87.64044943820224	0.0	85.85858585858585	0.0	82.1917808219178	71.9047619047619	92.090395480226	73.92996108949416	97.28506787330316	75.29761904761905	55.80246913580247	71.71314741035857	74.53416149068323	0.0	79.50819672131148	75.0	78.19420783645656	85.35031847133757	84.08163265306122	87.2289156626506	84.10041841004184	0.0	0.0	0.0	0.0	74.84472049689441	0.0	0.0	59.436619718309856	84.43396226415095	0.0	0.0	83.54037267080746	75.66539923954373	63.30749354005168	0.0	69.7594501718213	0.0	94.97907949790795	90.69767441860465	74.8878923766816	0.0	0.0	0.0	79.34426229508196	72.28260869565217	0.0	0.0	73.35907335907336	0.0	0.0	0.0	81.54362416107382	0.0	91.30434782608695	80.62678062678063	66.45367412140575	0.0	89.34169278996865	0.0	66.55948553054662	0.0	0.0	0.0	0.0	82.78688524590164	76.5	95.83333333333333	91.5068493150685	75.0	0.0	0.0	0.0	81.26801152737752	0.0	88.32116788321167	0.0	0.0	89.2116182572614	78.28571428571428	0.0	72.42105263157895	0.0	53.9344262295082	0.0	91.17647058823529	0.0	0.0	52.83018867924528	0.0	0.0	0.0	81.65467625899281	0.0	48.477751756440284	0.0	79.62962962962963	0.0	0.0	50.92724679029957	0.0	0.0	0.0	56.77290836653386	0.0	78.2051282051282	0.0	61.94690265486726	0.0	0.0	0.0	68.55123674911661	0.0	0.0	0.0
Farrea_occa	90.09584664536742	0.0	83.37801608579089	89.5615866388309	91.36690647482014	87.14859437751004	89.50276243093923	85.38812785388129	87.64367816091954	86.34361233480176	97.43589743589743	86.16071428571429	94.53551912568307	77.2234273318872	87.90035587188612	94.13793103448276	84.08163265306122	84.36532507739938	82.97872340425532	92.26932668329177	89.61937716262976	84.86238532110092	89.02691511387164	97.20930232558139	85.49019607843137	93.70786516853933	97.70642201834862	95.18518518518519	87.34177215189874	85.1528384279476	81.65137614678899	84.72622478386167	85.63829787234043	93.75	86.90702087286527	90.84158415841584	90.61224489795919	85.93155893536121	90.41450777202073	89.70588235294117	75.49407114624506	78.50746268656717	94.91017964071857	92.04545454545455	0.0	79.93579454253612	79.38517179023508	0.0	91.93083573487031	89.31506849315069	78.57142857142857	92.46704331450094	70.42801556420233	82.35294117647058	79.46428571428572	57.77777777777778	78.48605577689243	81.98757763975155	78.87323943661971	77.45901639344262	77.17391304347827	77.17206132879046	90.44585987261146	87.34693877551021	89.1566265060241	91.2133891213389	86.06811145510837	91.5	88.6029411764706	91.26984126984127	75.46583850931677	92.66409266409266	0.0	82.8169014084507	87.73584905660377	88.5593220338983	86.64772727272728	81.98757763975155	84.03041825095058	73.1266149870801	87.5912408759124	68.38487972508591	82.0	74.05857740585773	46.770025839793284	79.37219730941703	85.13011152416357	78.31858407079646	85.97014925373134	84.91803278688525	66.84782608695653	94.00630914826499	77.20588235294117	84.55598455598455	88.19444444444444	67.3015873015873	84.80492813141684	92.28187919463087	0.0	0.0	81.48148148148148	92.33226837060703	76.35658914728683	91.22257053291536	80.67226890756302	66.55948553054662	83.03249097472924	93.00873907615481	0.0	83.6734693877551	75.61475409836066	82.0	0.0	89.58904109589041	0.0	0.0	85.32818532818533	85.71428571428571	82.9971181556196	0.0	91.24087591240875	73.35423197492163	66.63031624863686	88.79668049792531	0.0	0.0	75.15789473684211	56.45161290322581	54.91803278688525	81.69014084507043	0.0	82.14285714285714	59.285714285714285	69.33962264150944	0.0	87.41258741258741	63.559322033898304	82.73381294964028	0.0	53.86416861826698	82.80632411067194	0.0	0.0	60.74950690335306	68.1169757489301	76.64670658682635	0.0	57.08661417322835	58.167330677290835	67.3913043478261	0.0	51.10132158590309	0.0	0.0	77.4390243902439	65.77380952380952	67.13780918727915	69.51219512195122	0.0	0.0
Lanuginellinae_sp	78.59424920127796	92.63157894736842	91.68900804289544	92.27557411273486	91.60671462829737	88.35341365461848	85.0828729281768	90.41095890410959	87.64367816091954	87.22466960352423	91.34615384615384	83.25892857142857	0.0	92.62472885032538	0.0	93.79310344827586	84.08163265306122	82.97213622291022	84.57446808510639	93.76558603491272	83.04498269896195	84.86238532110092	0.0	0.0	85.49019607843137	83.59550561797752	0.0	95.18518518518519	0.0	82.53275109170306	81.65137614678899	85.5907780979827	67.02127659574468	88.19444444444444	55.977229601518026	84.65346534653466	91.29251700680273	88.59315589353612	90.67357512953367	91.91176470588235	67.98418972332016	69.25373134328359	97.60479041916167	0.0	95.55555555555556	79.29373996789727	81.19349005424955	85.85858585858585	0.0	80.27397260273972	75.71428571428572	92.27871939736346	80.1556420233463	73.30316742081448	64.88095238095238	75.30864197530865	71.71314741035857	81.98757763975155	65.14084507042253	69.26229508196721	75.0	0.0	67.51592356687898	75.10204081632654	0.0	80.75313807531381	96.90402476780186	0.0	83.63970588235294	0.0	75.15527950310559	0.0	0.0	87.32394366197182	0.0	83.05084745762711	90.9090909090909	84.472049689441	75.66539923954373	63.565891472868216	0.0	74.22680412371133	0.0	64.01673640167364	92.89405684754522	61.43497757847533	80.29739776951672	0.0	85.97014925373134	82.29508196721312	0.0	96.21451104100946	0.0	0.0	0.0	59.36507936507937	0.0	82.88590604026845	63.90041493775934	75.77639751552795	80.34188034188034	86.90095846645367	0.0	86.52037617554859	0.0	66.88102893890675	83.39350180505414	0.0	0.0	82.31292517006803	69.87704918032787	0.0	95.83333333333333	86.84931506849315	74.83333333333333	0.0	0.0	0.0	77.80979827089337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.59016393442623	79.81220657276995	0.0	0.0	60.535714285714285	0.0	0.0	0.0	0.0	81.29496402877697	0.0	47.30679156908665	0.0	67.12962962962962	0.0	62.32741617357002	50.570613409415124	0.0	0.0	0.0	58.96414342629482	0.0	78.2051282051282	50.220264317180614	85.84070796460176	0.0	68.29268292682927	0.0	50.88339222614841	0.0	60.78431372549019	0.0
Regadrella_okinoseana	89.45686900958466	94.21052631578948	94.36997319034853	0.0	88.24940047961631	0.0	83.42541436464089	86.7579908675799	87.64367816091954	87.22466960352423	91.34615384615384	81.91964285714286	94.53551912568307	77.87418655097613	98.932384341637	94.13793103448276	87.75510204081633	83.74613003095975	85.1063829787234	93.26683291770574	85.81314878892734	0.0	90.26915113871635	94.88372093023256	85.49019607843137	93.48314606741573	94.4954128440367	95.18518518518519	87.9746835443038	81.6593886462882	0.0	85.5907780979827	0.0	88.19444444444444	86.52751423149905	88.86138613861387	91.29251700680273	86.12167300380229	89.63730569948187	88.6029411764706	84.9802371541502	81.7910447761194	98.50299401197604	67.61363636363637	0.0	86.03531300160513	82.09764918625677	75.5050505050505	90.20172910662825	82.73972602739727	74.28571428571428	72.50470809792844	70.42801556420233	79.18552036199095	80.35714285714286	78.76543209876543	70.91633466135458	0.0	79.92957746478874	78.68852459016394	79.8913043478261	0.0	0.0	86.12244897959184	0.0	0.0	86.06811145510837	88.5	82.90441176470588	83.33333333333333	81.67701863354037	97.29729729729729	0.0	77.1830985915493	96.69811320754717	0.0	84.0909090909091	83.85093167701864	0.0	59.43152454780362	87.5912408759124	85.2233676975945	91.33333333333333	63.17991631799163	86.43410852713178	81.61434977578475	0.0	0.0	0.0	86.55737704918033	90.21739130434783	90.22082018927445	0.0	72.58687258687259	0.0	67.3015873015873	63.24435318275154	92.28187919463087	77.17842323651452	73.91304347826087	83.1908831908832	0.0	79.06976744186046	88.71473354231975	0.0	72.66881028938907	64.62093862815885	88.88888888888889	97.60765550239235	97.27891156462584	73.36065573770492	77.0	0.0	90.41095890410959	77.5	0.0	84.55598455598455	0.0	83.28530259365994	0.0	89.05109489051095	73.66771159874608	76.55398037077427	0.0	0.0	73.25581395348837	81.89473684210526	0.0	0.0	0.0	88.23529411764706	0.0	59.285714285714285	65.56603773584905	0.0	80.41958041958043	61.016949152542374	84.53237410071942	0.0	57.84543325526932	82.21343873517787	0.0	0.0	62.72189349112426	95.00713266761768	0.0	0.0	0.0	57.17131474103586	44.78260869565217	0.0	51.10132158590309	62.389380530973455	0.0	74.39024390243902	0.0	63.25088339222615	0.0	0.0	66.2420382165605
Trychella_sp	76.99680511182109	93.6842105263158	93.2975871313673	93.52818371607516	85.13189448441247	87.14859437751004	83.42541436464089	86.7579908675799	87.64367816091954	87.22466960352423	91.34615384615384	81.47321428571428	94.53551912568307	77.87418655097613	90.39145907473309	94.82758620689656	84.08163265306122	84.05572755417957	86.70212765957447	93.26683291770574	71.28027681660899	84.86238532110092	0.0	94.4186046511628	87.84313725490196	93.48314606741573	0.0	95.18518518518519	92.40506329113924	78.60262008733625	81.65137614678899	84.14985590778097	87.76595744680851	89.93055555555556	86.52751423149905	88.11881188118812	91.56462585034014	84.03041825095058	89.11917098445596	88.6029411764706	77.86561264822134	78.2089552238806	70.65868263473054	66.47727272727272	0.0	76.7255216693419	92.94755877034358	78.53535353535354	86.1671469740634	83.01369863013699	75.71428571428572	91.52542372881356	70.42801556420233	80.54298642533936	85.11904761904762	57.77777777777778	69.32270916334662	84.472049689441	80.28169014084507	78.68852459016394	93.47826086956522	64.90630323679727	87.26114649681529	88.36734693877551	0.0	80.3347280334728	82.04334365325077	88.5	81.98529411764706	74.60317460317461	89.75155279503106	97.29729729729729	64.07185628742515	80.0	91.50943396226415	87.71186440677965	84.94318181818181	85.71428571428571	75.2851711026616	74.4186046511628	0.0	0.0	84.66666666666667	0.0	57.49354005167959	84.30493273542601	86.2453531598513	60.61946902654867	87.16417910447761	0.0	70.1086956521739	96.52996845425868	77.20588235294117	91.11969111969113	88.88888888888889	66.34920634920636	91.7864476386037	86.91275167785236	61.82572614107884	75.15527950310559	82.90598290598291	0.0	74.8062015503876	88.4012539184953	79.83193277310924	61.09324758842444	84.47653429602889	85.64294631710362	99.52153110047847	0.0	0.0	78.0	0.0	0.0	77.16666666666667	95.1219512195122	84.94208494208495	0.0	88.18443804034582	0.0	89.29440389294405	73.98119122257053	74.91821155943293	90.04149377593362	86.85714285714286	89.53488372093022	78.73684210526315	70.96774193548387	50.81967213114754	82.15962441314554	88.23529411764706	0.0	0.0	64.85849056603774	68.36158192090396	74.82517482517483	67.79661016949152	83.81294964028777	0.0	55.50351288056206	0.0	0.0	78.97574123989219	62.72189349112426	0.0	96.40718562874251	67.70186335403727	0.0	57.37051792828685	66.95652173913044	0.0	49.33920704845815	64.60176991150442	78.92561983471074	65.2439024390244	73.80952380952381	65.7243816254417	72.5609756097561	60.3921568627451	0.0
Amphimedon_queenslandica	86.26198083067092	91.84210526315789	92.76139410187668	87.47390396659708	88.24940047961631	93.97590361445783	0.0	81.27853881278538	90.51724137931035	86.78414096916299	100.0	83.48214285714286	93.98907103825137	78.9587852494577	93.23843416370107	93.79310344827586	81.42857142857143	88.54489164086687	78.19148936170212	90.02493765586036	85.81314878892734	86.69724770642202	91.92546583850931	92.55813953488372	88.23529411764706	84.9438202247191	94.95412844036697	92.22222222222223	93.0379746835443	82.96943231441048	81.34556574923548	88.47262247838617	0.0	84.72222222222223	84.0607210626186	88.86138613861387	92.38095238095238	88.40304182509506	89.63730569948187	79.77941176470588	78.26086956521739	86.56716417910448	96.7065868263473	84.6590909090909	0.0	80.41733547351525	80.83182640144665	79.54545454545455	87.03170028818444	83.01369863013699	80.47619047619048	90.77212806026365	70.42801556420233	79.63800904977376	70.53571428571428	91.11111111111111	80.4780876494024	70.1863354037267	89.08450704225352	84.42622950819673	0.0	76.6609880749574	91.71974522292993	92.65306122448979	88.19277108433735	85.35564853556485	82.97213622291022	80.5	86.21323529411765	85.71428571428571	83.85093167701864	85.71428571428571	85.02994011976048	84.78873239436619	0.0	81.77966101694915	84.6590909090909	66.77018633540374	61.21673003802282	65.63307493540051	89.78102189781022	73.19587628865979	79.33333333333333	62.34309623430963	90.43927648578811	0.0	84.38661710037175	75.22123893805309	81.49253731343283	86.22950819672131	0.0	0.0	78.67647058823529	79.92277992277992	90.97222222222223	78.0952380952381	68.17248459958932	0.0	61.41078838174274	73.91304347826087	0.0	82.10862619808307	76.74418604651163	0.0	91.17647058823529	86.49517684887459	81.5884476534296	81.52309612983771	97.60765550239235	80.27210884353741	0.0	0.0	0.0	83.01369863013699	95.0	95.1219512195122	66.02316602316603	86.06271777003485	63.40057636887608	89.61748633879782	87.5912408759124	74.60815047021944	71.31952017448201	0.0	80.57142857142857	83.72093023255815	76.63157894736842	87.63440860215054	0.0	0.0	84.55882352941177	97.14285714285714	58.75	73.82075471698113	68.36158192090396	69.93006993006993	69.91525423728814	94.24460431654677	81.69642857142857	56.67447306791569	74.11067193675889	65.74074074074073	80.3234501347709	60.946745562130175	66.6904422253923	0.0	80.12422360248448	66.14173228346456	55.776892430278885	51.30434782608695	78.2051282051282	51.98237885462555	64.15929203539824	80.57851239669421	65.2439024390244	68.45238095238095	59.01060070671378	70.1219512195122	80.7843137254902	0.0
Ephydatia_muelleri	96.16613418530352	92.89473684210526	84.1823056300268	85.38622129436325	73.86091127098321	89.5582329317269	79.55801104972376	0.0	0.0	0.0	74.35897435897436	82.14285714285714	93.98907103825137	79.17570498915401	90.0355871886121	0.0	0.0	86.37770897832817	0.0	85.53615960099751	89.27335640138408	89.90825688073394	0.0	89.30232558139535	92.94117647058823	85.3932584269663	88.07339449541284	88.51851851851852	0.0	71.17903930131004	80.73394495412845	89.04899135446686	53.191489361702125	90.27777777777777	0.0	89.60396039603961	88.9795918367347	0.0	88.08290155440415	45.588235294117645	69.1699604743083	91.94029850746269	64.07185628742515	91.47727272727272	0.0	0.0	79.92766726943943	85.1010101010101	87.31988472622479	81.64383561643835	80.95238095238095	49.152542372881356	71.98443579766537	79.63800904977376	0.0	0.0	68.12749003984064	82.6086956521739	74.64788732394366	75.81967213114754	0.0	78.02385008517888	0.0	0.0	94.4578313253012	0.0	0.0	0.0	72.97794117647058	85.71428571428571	67.3913043478261	0.0	80.23952095808383	81.69014084507043	91.0377358490566	0.0	0.0	0.0	63.11787072243346	0.0	0.0	0.0	82.66666666666667	63.17991631799163	86.04651162790698	0.0	66.91449814126395	74.3362831858407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.65503080082136	0.0	48.96265560165975	81.36645962732919	83.76068376068376	76.67731629392972	74.03100775193798	0.0	65.54621848739495	0.0	84.83754512635379	68.03995006242198	97.60765550239235	80.95238095238095	51.63934426229508	76.5	0.0	84.38356164383562	0.0	0.0	69.11196911196912	85.01742160278745	0.0	87.43169398907104	85.88807785888078	0.0	81.2431842966194	92.11618257261411	66.28571428571428	0.0	56.8421052631579	0.0	87.37704918032787	0.0	0.0	86.78571428571429	60.357142857142854	92.68867924528303	0.0	81.81818181818181	0.0	89.568345323741	82.58928571428572	93.91100702576112	0.0	65.74074074074073	83.55795148247978	0.0	0.0	0.0	0.0	56.69291338582677	92.43027888446215	67.82608695652175	83.07692307692308	51.10132158590309	54.86725663716814	0.0	70.73170731707317	65.17857142857143	0.0	0.0	68.62745098039215	77.07006369426752
