#k	31
#unique_kmers	755354849
#error_kmers	662513865
#genomic_kmers	92840984
#main_peak	48
#genome_size_in_peaks	316158551
#genome_size	299270905
#haploid_genome_size	74817726
#fold_coverage	13
#haploid_fold_coverage	48
#ploidy	4
#het_rate	0.00865
#percent_repeat_in_peaks	4.596
#percent_repeat	67.941
#start	center	stop	max	volume
5	13	18	1874000	20060980
19	48	120	2248654	70294923
289	290	467	2242	214072
467	468	725	643	87075
727	729	754	181	4369
754	755	789	188	5016
789	790	1025	159	22922
1025	1259	1262	111	19811
1262	1265	1266	115	403
1266	1267	1270	112	411
1270	1272	1276	104	571
1276	1277	3191	111	31461
