JAKMXF010000288.1	axis	215000	240000	.
3748	mRNA	214039	215879	-
3748	exon	214039	214342	-
3748	exon	214579	215269	-
3748	exon	215513	215879	-
3749	mRNA	217047	224000	-
3749	exon	217047	217411	-
3749	exon	217500	217847	-
3749	exon	218132	218257	-
3749	exon	218569	218682	-
3749	exon	218861	218980	-
3749	exon	219049	219171	-
3749	exon	219626	219748	-
3749	exon	219879	219986	-
3749	exon	220179	220295	-
3749	exon	220379	220507	-
3749	exon	220589	220708	-
3749	exon	220972	221097	-
3749	exon	221351	221467	-
3749	exon	221669	221797	-
3749	exon	221872	221994	-
3749	exon	222068	222187	-
3749	exon	222538	222759	-
3749	exon	222893	223009	-
3749	exon	223181	223303	-
3749	exon	223859	224000	-
3750	mRNA	224229	225518	-
3750	exon	224229	225518	-
3751	mRNA	226044	228432	-
3751	exon	226044	226183	-
3751	exon	226524	226711	-
3751	exon	226897	227107	-
3751	exon	227619	228432	-
3752	mRNA	228897	232210	-
3752	exon	228897	229209	-
3752	exon	230708	230845	-
3752	exon	231062	231176	-
3752	exon	231453	231632	-
3752	exon	232003	232210	-
3753	mRNA	233559	234014	+
3753	exon	233559	234014	+
3754	mRNA	236000	237031	-
3754	exon	236000	237031	-
3755	mRNA	237645	238847	-
3755	exon	237645	238847	-
3756	mRNA	239331	240416	-
3756	exon	239331	240416	-
