JAKMXF010000222.1	axis	1375000	1425000	True
955	gene	1376080	1378752	+
956	gene	1381894	1382751	-
957	gene	1384216	1385415	+
958	gene	1388526	1389347	+
959	gene	1390303	1391490	+
960	gene	1392917	1394550	+
961	gene	1394559	1396289	-
962	gene	1396560	1401213	+
963	gene	1402118	1402576	-
964	gene	1404988	1406431	-
965	gene	1407252	1408484	+
966	gene	1409802	1410771	-
967	gene	1411216	1418343	+
968	gene	1418405	1419236	-
969	gene	1419527	1419874	-
970	gene	1421251	1423250	+
971	gene	1424000	1424869	-
