Aphrocallistes_vastus_HiC-scaffold_003	axis	875000	895000	.
g332	mRNA	872723	875099	+
g332	exon	873780	875099	+
g333	mRNA	875859	876989	+
g333	exon	875859	876989	+
g334	mRNA	877264	889096	+
g334	exon	877264	877629	+
g334	exon	877928	878263	+
g334	exon	886135	886616	+
g334	exon	886692	886904	+
g334	exon	887172	887579	+
g334	exon	887827	889096	+
g335	mRNA	878661	880234	-
g335	exon	878661	880234	-
g336	mRNA	880497	881141	-
g336	exon	880497	880762	-
g336	exon	880982	881141	-
g337	mRNA	881747	883274	-
g337	exon	881747	882265	-
g337	exon	882314	882588	-
g337	exon	882700	883274	-
g338	mRNA	884164	884917	-
g338	exon	884164	884521	-
g338	exon	884586	884917	-
g339	mRNA	889506	890096	+
g339	exon	889506	890096	+
g340	mRNA	890268	891509	+
g340	exon	890268	891509	+
g341	mRNA	892011	893444	+
g341	exon	892011	893444	+
g342	mRNA	893989	895014	+
g342	exon	893989	895014	+
