SeqName	ortholog_cluster_id	Gene.Name	EggNOG.Description	E.Value	Bit.Score	Best.Tax.Level	EC.Codes	n_GO	GOs	GO.Names	KEGG.KO	KEGG.Pathway	Description	Length	e.Value	GO.IDs	GO.mes	Enzyme.Codes	Enzyme.mes	InterPro.IDs	InterPro.GO.IDs	InterPro.GO.mes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Avas.s001.g47.i1	paralog_cluster_00107	NA	cysteine-type endopeptidase activity	6.8e-91	340.9	Metazoa	NA	NA	NA	NA	NA	NA	CATL1_RAT | Procathepsin L OS=Rattus norvegicus OX=10116 GN=Ctsl PE=1 SV=2	337	4.4e-85	P:GO:0002250; P:GO:0006590; P:GO:0007283; P:GO:0009267; P:GO:0009749; P:GO:0010259; P:GO:0010839; P:GO:0016540; P:GO:0019064; P:GO:0019065; P:GO:0021675; P:GO:0030574; P:GO:0031069; P:GO:0031638; P:GO:0034698; P:GO:0039654; P:GO:0043373; P:GO:0046697; P:GO:0048002; P:GO:0048102; P:GO:0051384; P:GO:0051603; P:GO:0060008; P:GO:0060309; P:GO:0097067; P:GO:1990834; F:GO:0001968; F:GO:0004177; F:GO:0004197; F:GO:0005518; F:GO:0016807; F:GO:0030984; F:GO:0042277; F:GO:0042393; F:GO:0043394; F:GO:0097655; C:GO:0005615; C:GO:0005730; C:GO:0005768; C:GO:0005794; C:GO:0005902; C:GO:0009897; C:GO:0030141; C:GO:0043005; C:GO:0043202; C:GO:0043204; C:GO:0045169; C:GO:0045177	P:adaptive immune response; P:thyroid hormone generation; P:spermatogenesis; P:cellular response to starvation; P:response to glucose; P:multicellular organism aging; P:negative regulation of keratinocyte proliferation; P:protein autoprocessing; P:fusion of virus membrane with host plasma membrane; P:receptor-mediated endocytosis of virus by host cell; P:nerve development; P:collagen catabolic process; P:hair follicle morphogenesis; P:zymogen activation; P:response to godotropin; P:fusion of virus membrane with host endosome membrane; P:CD4-positive, alpha-beta T cell lineage commitment; P:decidualization; P:antigen processing and presentation of peptide antigen; P:autophagic cell death; P:response to glucocorticoid; P:proteolysis involved in cellular protein catabolic process; P:Sertoli cell differentiation; P:elastin catabolic process; P:cellular response to thyroid hormone stimulus; P:response to odorant; F:fibronectin binding; F:aminopeptidase activity; F:cysteine-type endopeptidase activity; F:collagen binding; F:cysteine-type carboxypeptidase activity; F:kininogen binding; F:peptide binding; F:histone binding; F:proteoglycan binding; F:serpin family protein binding; C:extracellular space; C:nucleolus; C:endosome; C:Golgi apparatus; C:microvillus; C:exterl side of plasma membrane; C:secretory granule; C:neuron projection; C:lysosomal lumen; C:perikaryon; C:fusome; C:apical part of cell	EC:3.4.22; EC:3.4.11; EC:3.4.18	Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases)	IPR013201 (PFAM); IPR000668 (PFAM); IPR000169 (PROSITE_PATTERNS); IPR025660 (PROSITE_PATTERNS); IPR025661 (PROSITE_PATTERNS)	P:GO:0006508; F:GO:0008234	P:proteolysis; F:cysteine-type peptidase activity	7076.75865718436	-1.68396551672539	0.314919307012477	-5.34729208158289	8.92798788688382e-08	4.6336257132927e-06
Avas.s001.g199.i1	paralog_cluster_01633	NA	Methyltransferase	8.9e-14	84	Bacteroidetes	NA	NA	NA	NA	NA	NA	------	199	NA					IPR007318 (PFAM)	no GO terms	no GO terms	966.728453858428	3.94328299975385	0.363758519392108	10.8403866563555	2.21532761936082e-27	7.74834914519484e-25
Avas.s001.g198.i1	paralog_cluster_18173	NA	Isoprenylcysteine carboxyl methyltransferase (ICMT) family	0.0014	48.5	Alphaproteobacteria	NA	NA	NA	NA	NA	NA	------	69	NA					no IPS match	no IPS match	no IPS match	727.002723041192	4.76092829865168	0.468243433318351	10.167634951999	2.76541710949366e-24	7.80575366221815e-22
Avas.s001.g200.i1	paralog_cluster_01633	NA	Methyltransferase	1.2e-14	87	Bacteroidetes	NA	NA	NA	NA	NA	NA	------	234	NA					IPR007269 (PFAM)	P:GO:0006481; F:GO:0004671; C:GO:0016021	P:C-termil protein methylation; F:protein C-termil S-isoprenylcysteine carboxyl O-methyltransferase activity; C:integral component of membrane	1052.42481648834	4.99503497750266	0.649146457525683	7.69477352852232	1.41745008621997e-14	1.88474003613166e-12
Avas.s001.g201.i1	paralog_cluster_01633	NA	Isoprenylcysteine carboxyl methyltransferase (ICMT) family	5.7e-08	64.7	Halanaerobiales	NA	NA	NA	NA	NA	NA	------	203	NA					IPR007318 (PFAM)	no GO terms	no GO terms	244.578617644447	3.89482074019977	0.62160209860062	6.26577797753253	3.70968582451678e-10	2.94015444485963e-08
Avas.s001.g226.i1	paralog_cluster_00247	NA	Belongs to the G-protein coupled receptor 2 family	7.3e-28	132.5	Metazoa	NA	NA	NA	NA	NA	NA	AGRD1_MOUSE | Adhesion G-protein coupled receptor D1 OS=Mus musculus OX=10090 GN=Adgrd1 PE=2 SV=2	669	3.8e-24	P:GO:0007165; P:GO:0007399; F:GO:0004888; F:GO:0005515; C:GO:0005886; C:GO:0016021; C:GO:0043005; C:GO:0045202	P:sigl transduction; P:nervous system development; F:transmembrane sigling receptor activity; F:protein binding; C:plasma membrane; C:integral component of membrane; C:neuron projection; C:sypse			IPR000203 (PFAM); IPR000832 (PFAM); IPR017981 (PROSITE_PROFILES)	P:GO:0007166; P:GO:0007186; F:GO:0004888; F:GO:0004930; C:GO:0016021	P:cell surface receptor sigling pathway; P:G protein-coupled receptor sigling pathway; F:transmembrane sigling receptor activity; F:G protein-coupled receptor activity; C:integral component of membrane	57.5263617837586	2.9511568543866	0.612899164991127	4.81507729649023	1.47142922492491e-06	6.00858497457283e-05
Avas.s001.g603.i1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	------	38	NA					no IPS match	no IPS match	no IPS match	355.922851040707	1.53728290496827	0.251939027072914	6.10180535675151	1.04877045365899e-09	7.56666718785628e-08
Avas.s001.g732.i1	homolog_cluster_10838	NA	Golgi organization	1.9e-22	112.5	Chordata	NA	NA	NA	NA	NA	NA	EFC4B_HUMAN | EF-hand calcium-binding domain-containing protein 4B OS=Homo sapiens OX=9606 GN=CRACR2A PE=1 SV=2	166	2e-22	P:GO:0001881; P:GO:0002115; P:GO:0017157; P:GO:0032237; P:GO:0032456; P:GO:0034776; P:GO:0046330; P:GO:0048488; P:GO:0080092; P:GO:0099641; P:GO:1902647; P:GO:1904951; F:GO:0003924; F:GO:0005509; F:GO:0005525; F:GO:0019900; F:GO:0032794; F:GO:0071532; C:GO:0000139; C:GO:0000331; C:GO:0001772; C:GO:0005769; C:GO:0005770; C:GO:0005797; C:GO:0005815; C:GO:0016324; C:GO:0030424; C:GO:0031045; C:GO:0033093; C:GO:0042589; C:GO:0043025; C:GO:0055038; C:GO:0090404; C:GO:0098993; C:GO:0140220	P:receptor recycling; P:store-operated calcium entry; P:regulation of exocytosis; P:activation of store-operated calcium channel activity; P:endocytic recycling; P:response to histamine; P:positive regulation of JNK cascade; P:syptic vesicle endocytosis; P:regulation of pollen tube growth; P:anterograde axol protein transport; P:negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process; P:positive regulation of establishment of protein localization; F:GTPase activity; F:calcium ion binding; F:GTP binding; F:kise binding; F:GTPase activating protein binding; F:ankyrin repeat binding; C:Golgi membrane; C:contractile vacuole; C:immunological sypse; C:early endosome; C:late endosome; C:Golgi medial cister; C:microtubule organizing center; C:apical plasma membrane; C:axon; C:dense core granule; C:Weibel-Palade body; C:zymogen granule membrane; C:neurol cell body; C:recycling endosome membrane; C:pollen tube tip; C:anchored component of syptic vesicle membrane; C:pathogen-containing vacuole	EC:3.6.1	Acting on acid anhydrides	IPR001806 (PFAM); IPR001806 (PROSITE_PROFILES); PS51419 (PROSITE_PROFILES)	F:GO:0003924; F:GO:0005525	F:GTPase activity; F:GTP binding	634.373339895233	2.49596647290699	0.234224746277065	10.6562885116951	1.62971997495247e-26	5.24411293540206e-24
Avas.s001.g761.i1	paralog_cluster_01634	NA	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity	9e-49	201.8	Metazoa	NA	NA	NA	NA	NA	NA	B4GN4_MOUSE | N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 OS=Mus musculus OX=10090 GN=B4galnt4 PE=2 SV=1	609	4.4e-43	F:GO:0008376; C:GO:0005794	F:acetylgalactosaminyltransferase activity; C:Golgi apparatus	EC:2.4.1	Glycosyltransferases	IPR008428 (PFAM); IPR037524 (PROSITE_PROFILES)	F:GO:0008376; C:GO:0032580	F:acetylgalactosaminyltransferase activity; C:Golgi cister membrane	53.2548855160612	2.23377757753501	0.43157617032509	5.17585939893853	2.26864260744846e-07	1.08631520569162e-05
Avas.s001.g790.i1	paralog_cluster_01884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	------	104	NA					IPR004826 (PFAM)	P:GO:0006355; F:GO:0003677	P:regulation of transcription, D-templated; F:D binding	177.411820389341	4.22217704050944	0.691282816419806	6.10774192591151	1.01050572611799e-09	7.32343541779832e-08
Avas.s001.g791.i1	paralog_cluster_01884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	------	104	NA					IPR004826 (PFAM)	P:GO:0006355; F:GO:0003677	P:regulation of transcription, D-templated; F:D binding	164.991730905332	3.2714162114595	0.56569370417626	5.78301682926312	7.3372719508438e-09	4.70316208833171e-07
Avas.s001.g794.i1	paralog_cluster_01884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	------	111	NA					IPR004826 (PFAM)	P:GO:0006355; F:GO:0003677	P:regulation of transcription, D-templated; F:D binding	1079.70094817842	5.59113456198983	0.66659357353489	8.38762145926567	4.96076546719144e-17	8.6754082175699e-15
Avas.s001.g816.i1	paralog_cluster_18192	NA	D-arabinono-1,4-lactone oxidase	1.1e-83	317.4	Fungi	NA	NA	NA	NA	NA	NA	------	472	NA					IPR007173 (PFAM); IPR001025 (PROSITE_PROFILES); IPR016166 (PROSITE_PROFILES)	F:GO:0003682; F:GO:0003885; F:GO:0071949; C:GO:0016020	F:chromatin binding; F:D-arabinono-1,4-lactone oxidase activity; F:FAD binding; C:membrane	85.405244991035	-6.05983737845334	0.684138935487915	-8.85761219558652	8.17465232677786e-19	1.584602184163e-16
Avas.s001.g831.i1	paralog_cluster_18192	NA	D-arabinono-1,4-lactone oxidase	3.4e-74	286.6	Fungi	NA	NA	NA	NA	NA	NA	AOFA_PIG | Amine oxidase	748	1.3e-09	P:GO:0009410; P:GO:0009636; P:GO:0010044; P:GO:0010269; P:GO:0014063; P:GO:0032496; P:GO:0042135; P:GO:0042424; P:GO:0042428; P:GO:0042443; P:GO:0045471; P:GO:0045964; P:GO:0051412; F:GO:0008131; F:GO:0042802; F:GO:0050660; F:GO:0051378; C:GO:0005741; C:GO:0005829	P:response to xenobiotic stimulus; P:response to toxic substance; P:response to aluminum ion; P:response to selenium ion; P:negative regulation of serotonin secretion; P:response to lipopolysaccharide; P:neurotransmitter catabolic process; P:catecholamine catabolic process; P:serotonin metabolic process; P:phenylethylamine metabolic process; P:response to ethanol; P:positive regulation of dopamine metabolic process; P:response to corticosterone; F:primary amine oxidase activity; F:identical protein binding; F:flavin adenine dinucleotide binding; F:serotonin binding; C:mitochondrial outer membrane; C:cytosol	EC:1.4.3.21	Primary-amine oxidase	IPR007173 (PFAM); IPR002937 (PFAM); IPR001025 (PROSITE_PROFILES)	F:GO:0003682; F:GO:0003885; F:GO:0016491; C:GO:0016020	F:chromatin binding; F:D-arabinono-1,4-lactone oxidase activity; F:oxidoreductase activity; C:membrane	222.091194813612	-5.72234890880323	0.712780541181734	-8.02820584764565	9.89084258760931e-16	1.5755818454658e-13
Avas.s001.g868.i1	paralog_cluster_01884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	------	104	NA					IPR004826 (PFAM)	P:GO:0006355; F:GO:0003677	P:regulation of transcription, D-templated; F:D binding	1299.7310964202	7.5434775283611	0.368417328639403	20.4753602557725	3.57097997956316e-93	1.91511656303972e-89
