Aphrocallistes_vastus_HiC-scaffold_001	axis	3349000	3400000	True
g966	gene	3349271	3351153	+
g966.i2	gene	3349271	3351153	+
g967	gene	3351306	3353840	+
g968	gene	3353997	3354842	+
g969	gene	3355559	3366164	-
g970	gene	3366849	3376816	+
g971	gene	3377284	3377717	-
g972	gene	3378568	3381036	-
g973	gene	3382071	3382898	+
g974	gene	3383759	3386446	+
g975	gene	3387102	3388040	+
g976	gene	3388358	3389131	+
g977	gene	3390174	3391019	+
g978	gene	3391643	3391999	+
g979	gene	3393539	3397761	+
