Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_002	80	38139	473
ONT_TR_PE_scaff_009	4	1849	456
ONT_TR_PE_scaff_024	0	167	183
ONT_TR_PE_scaff_038	1	2171	1440
ONT_TR_PE_scaff_040	3	2038	580
ONT_TR_PE_scaff_043	3	2467	819
ONT_TR_PE_scaff_045	3	6369	1595
ONT_TR_PE_scaff_046	4	7480	1507
ONT_TR_PE_scaff_051	56	70154	1235
ONT_TR_PE_scaff_052	12	7230	594
ONT_TR_PE_scaff_059	2	727	344
ONT_TR_PE_scaff_060	1	95	95
ONT_TR_PE_scaff_061	15	27014	1707
ONT_TR_PE_scaff_062	2	298	112
ONT_TR_PE_scaff_064	21	27531	1295
ONT_TR_PE_scaff_066	8	8638	987
ONT_TR_PE_scaff_070	24	36288	1470
ONT_TR_PE_scaff_075	1	133	133
ONT_TR_PE_scaff_077	8	1852	224
ONT_TR_PE_scaff_080	0	102	829
ONT_TR_PE_scaff_083	1084	1518547	1400
ONT_TR_PE_scaff_084	24	62783	2597
ONT_TR_PE_scaff_086	0	117	120
ONT_TR_PE_scaff_090	3	5150	1348
ONT_TR_PE_scaff_093	8	16589	1934
ONT_TR_PE_scaff_095	17	24991	1454
ONT_TR_PE_scaff_097	1	1144	689
ONT_TR_PE_scaff_099	134	17621	131
ONT_TR_PE_scaff_100	0	216	627
ONT_TR_PE_scaff_105	100	220046	2193
ONT_TR_PE_scaff_106	0	204	207
ONT_TR_PE_scaff_109	55	45432	815
ONT_TR_PE_scaff_115	2	1595	711
ONT_TR_PE_scaff_117	28	24978	876
ONT_TR_PE_scaff_121	3	873	235
ONT_TR_PE_scaff_122	49	118043	2388
ONT_TR_PE_scaff_123	13	4079	298
ONT_TR_PE_scaff_129	5	2585	467
ONT_TR_PE_scaff_133	2	4243	1809
ONT_TR_PE_scaff_139	2	717	302
ONT_TR_PE_scaff_141	1	2584	1405
ONT_TR_PE_scaff_146	0	571	581
ONT_TR_PE_scaff_151	11	11612	1020
ONT_TR_PE_scaff_153	19	24378	1266
ONT_TR_PE_scaff_154	186	227398	1220
ONT_TR_PE_scaff_160	8	1026	119
ONT_TR_PE_scaff_161	0	137	140
ONT_TR_PE_scaff_162	2	5632	1888
ONT_TR_PE_scaff_167	0	251	258
ONT_TR_PE_scaff_169	3	6791	1950
ONT_TR_PE_scaff_170	1	385	385
ONT_TR_PE_scaff_171	1	2685	1373
ONT_TR_PE_scaff_172	1	120	120
ONT_TR_PE_scaff_174	16	39971	2451
ONT_TR_PE_scaff_175	0	1468	1519
ONT_TR_PE_scaff_176	0	741	759
ONT_TR_PE_scaff_179	2	1084	510
ONT_TR_PE_scaff_181	6	24885	3839
ONT_TR_PE_scaff_184	3	8897	2268
ONT_TR_PE_scaff_185	1	1574	856
ONT_TR_PE_scaff_186	5	18313	3261
ONT_TR_PE_scaff_187	82	328913	4008
ONT_TR_PE_scaff_188	2	5031	2121
ONT_TR_PE_scaff_189	2	9266	4080
ONT_TR_PE_scaff_191	1	2487	1343
ONT_TR_PE_scaff_193	7	31398	4350
ONT_TR_PE_scaff_194	1	6304	4843
ONT_TR_PE_scaff_197	0	813	1653
ONT_TR_PE_scaff_200	4	7327	1556
ONT_TR_PE_scaff_207	5	26917	5138
ONT_TR_PE_scaff_209	15	84470	5475
ONT_TR_PE_scaff_210	2	4023	1794
ONT_TR_PE_scaff_211	3	21179	5381
ONT_TR_PE_scaff_214	0	665	944
ONT_TR_PE_scaff_217	16	27207	1606
ONT_TR_PE_scaff_221	28	55458	1960
ONT_TR_PE_scaff_222	0	194	198
ONT_TR_PE_scaff_225	0	263	689
ONT_TR_PE_scaff_229	6	25471	4176
ONT_TR_PE_scaff_232	1	2499	1639
ONT_TR_PE_scaff_233	1	789	427
ONT_TR_PE_scaff_234	10	19137	1771
ONT_TR_PE_scaff_239	0	2131	2719
ONT_TR_PE_scaff_240	7	16551	2358
ONT_TR_PE_scaff_249	3	6329	2039
ONT_TR_PE_scaff_253	0	1906	3143
ONT_TR_PE_scaff_257	49	97586	1960
ONT_TR_PE_scaff_258	43	65238	1488
ONT_TR_PE_scaff_259	330	1357958	4107
ONT_TR_PE_scaff_261	0	578	580
ONT_TR_PE_scaff_264	1	799	666
ONT_TR_PE_scaff_265	1	276	276
ONT_TR_PE_scaff_266	3	16099	5354
ONT_TR_PE_scaff_269	2	13521	6254
ONT_TR_PE_scaff_271	4	31607	6743
ONT_TR_PE_scaff_278	1	884	695
ONT_TR_PE_scaff_280	2	29297	9771
ONT_TR_PE_scaff_282	1	1027	1027
ONT_TR_PE_scaff_284	3	3060	934
ONT_TR_PE_scaff_285	21	136881	6383
ONT_TR_PE_scaff_287	11	79284	6780
ONT_TR_PE_scaff_289	0	2018	3740
ONT_TR_PE_scaff_290	1	9854	8227
ONT_TR_PE_scaff_293	1	2580	1301
ONT_TR_PE_scaff_301	5	50159	9569
ONT_TR_PE_scaff_302	11	25484	2203
ONT_TR_PE_scaff_304	0	3706	10854
ONT_TR_PE_scaff_305	0	2365	2409
ONT_TR_PE_scaff_306	0	630	631
ONT_TR_PE_scaff_307	1	2025	1112
ONT_TR_PE_scaff_308	88	213719	2428
ONT_TR_PE_scaff_309	3	31049	10325
ONT_TR_PE_scaff_311	0	149	150
ONT_TR_PE_scaff_318	0	2620	4108
ONT_TR_PE_scaff_320	7	34678	4533
ONT_TR_PE_scaff_321	10	32569	3021
ONT_TR_PE_scaff_326	31	302514	9479
ONT_TR_PE_scaff_332	4	5494	1170
ONT_TR_PE_scaff_333	0	5439	5990
ONT_TR_PE_scaff_337	2	2403	826
ONT_TR_PE_scaff_341	80	360253	4481
ONT_TR_PE_scaff_342	3	1698	454
ONT_TR_PE_scaff_343	56	451780	8000
ONT_TR_PE_scaff_348	2	32584	13940
ONT_TR_PE_scaff_349	0	6587	7560
ONT_TR_PE_scaff_350	4	30762	6369
ONT_TR_PE_scaff_351	7	94457	11973
ONT_TR_PE_scaff_352	2	25503	10713
ONT_TR_PE_scaff_354	13	85295	6228
ONT_TR_PE_scaff_356	33	519535	15592
ONT_TR_PE_scaff_357	0	2942	7061
ONT_TR_PE_scaff_358	0	1960	7739
ONT_TR_PE_scaff_361	3	19106	6240
ONT_TR_PE_scaff_362	1	20720	17184
ONT_TR_PE_scaff_368	1	1907	985
ONT_TR_PE_scaff_373	2	5620	2297
ONT_TR_PE_scaff_380	1	1104	826
ONT_TR_PE_scaff_383	2	1076	516
ONT_TR_PE_scaff_384	10	145403	14361
ONT_TR_PE_scaff_385	67	525004	7774
ONT_TR_PE_scaff_386	1	12383	8612
ONT_TR_PE_scaff_387	3	44306	14439
