JAKMXF010000133.1	axis	760000	800000	.
LOD99_16303.mRNA.1	mRNA	762358	766660	-
LOD99_16303.mRNA.1	exon	762358	762537	-
LOD99_16303.mRNA.1	exon	763128	763217	-
LOD99_16303.mRNA.1	exon	763272	763347	-
LOD99_16303.mRNA.1	exon	763417	763501	-
LOD99_16303.mRNA.1	exon	763570	763654	-
LOD99_16303.mRNA.1	exon	763712	763777	-
LOD99_16303.mRNA.1	exon	764314	764439	-
LOD99_16303.mRNA.1	exon	764542	764660	-
LOD99_16303.mRNA.1	exon	764757	764862	-
LOD99_16303.mRNA.1	exon	764911	765003	-
LOD99_16303.mRNA.1	exon	766658	766660	-
LOD99_16304.mRNA.1	mRNA	767076	770387	+
LOD99_16304.mRNA.1	exon	767076	770387	+
LOD99_16305.mRNA.1	mRNA	772017	773096	+
LOD99_16305.mRNA.1	exon	772017	773096	+
LOD99_16306.mRNA.1	mRNA	773334	787770	-
LOD99_16306.mRNA.1	exon	773334	773466	-
LOD99_16306.mRNA.1	exon	773521	773634	-
LOD99_16306.mRNA.1	exon	773857	773966	-
LOD99_16306.mRNA.1	exon	774023	774115	-
LOD99_16306.mRNA.1	exon	774181	774292	-
LOD99_16306.mRNA.1	exon	774854	774995	-
LOD99_16306.mRNA.1	exon	775076	775209	-
LOD99_16306.mRNA.1	exon	775396	775760	-
LOD99_16306.mRNA.1	exon	775846	775965	-
LOD99_16306.mRNA.1	exon	776043	776181	-
LOD99_16306.mRNA.1	exon	776234	776319	-
LOD99_16306.mRNA.1	exon	776376	776429	-
LOD99_16306.mRNA.1	exon	776741	776867	-
LOD99_16306.mRNA.1	exon	777340	777380	-
LOD99_16306.mRNA.1	exon	777460	777579	-
LOD99_16306.mRNA.1	exon	777674	777818	-
LOD99_16306.mRNA.1	exon	777945	778074	-
LOD99_16306.mRNA.1	exon	778132	778218	-
LOD99_16306.mRNA.1	exon	778292	778381	-
LOD99_16306.mRNA.1	exon	778685	778916	-
LOD99_16306.mRNA.1	exon	779087	779157	-
LOD99_16306.mRNA.1	exon	779604	779829	-
LOD99_16306.mRNA.1	exon	780023	780296	-
LOD99_16306.mRNA.1	exon	780418	780513	-
LOD99_16306.mRNA.1	exon	780571	780659	-
LOD99_16306.mRNA.1	exon	780899	780994	-
LOD99_16306.mRNA.1	exon	781051	781132	-
LOD99_16306.mRNA.1	exon	781414	781547	-
LOD99_16306.mRNA.1	exon	781660	781680	-
LOD99_16306.mRNA.1	exon	781898	782008	-
LOD99_16306.mRNA.1	exon	782297	782506	-
LOD99_16306.mRNA.1	exon	782726	782795	-
LOD99_16306.mRNA.1	exon	782916	782986	-
LOD99_16306.mRNA.1	exon	783045	783098	-
LOD99_16306.mRNA.1	exon	783268	783363	-
LOD99_16306.mRNA.1	exon	783428	783472	-
LOD99_16306.mRNA.1	exon	783694	783770	-
LOD99_16306.mRNA.1	exon	783823	783934	-
LOD99_16306.mRNA.1	exon	784140	784268	-
LOD99_16306.mRNA.1	exon	784326	784369	-
LOD99_16306.mRNA.1	exon	784434	784477	-
LOD99_16306.mRNA.1	exon	784539	784603	-
LOD99_16306.mRNA.1	exon	784663	784746	-
LOD99_16306.mRNA.1	exon	784951	785112	-
LOD99_16306.mRNA.1	exon	785166	785264	-
LOD99_16306.mRNA.1	exon	785332	785439	-
LOD99_16306.mRNA.1	exon	785523	785626	-
LOD99_16306.mRNA.1	exon	785681	785813	-
LOD99_16306.mRNA.1	exon	786234	786914	-
LOD99_16306.mRNA.1	exon	787132	787199	-
LOD99_16306.mRNA.1	exon	787263	787770	-
LOD99_16307.mRNA.1	mRNA	788900	790087	-
LOD99_16307.mRNA.1	exon	788900	790087	-
LOD99_16308.mRNA.1	mRNA	790507	792984	-
LOD99_16308.mRNA.1	exon	790507	792984	-
LOD99_16309.mRNA.1	mRNA	795682	796917	-
LOD99_16309.mRNA.1	exon	795682	796917	-
LOD99_16310.mRNA.1	mRNA	798058	798321	-
LOD99_16310.mRNA.1	exon	798058	798321	-
