"transcript","L1"
"Avas.s001.g732.i1","homolog_cluster_10838"
"Avas.s001.g796.i1","homolog_cluster_10841"
"Avas.s001.g843.i1","homolog_cluster_10845"
"Avas.s001.g845.i1","homolog_cluster_10847"
"Avas.s001.g893.i1","homolog_cluster_10863"
"Avas.s001.g1085.i1","homolog_cluster_10905"
"Avas.s001.g1190.i1","homolog_cluster_10948"
"Avas.s001.g1214.i1","homolog_cluster_10958"
"Avas.s001.g1304.i1","homolog_cluster_10989"
"Avas.s001.g1391.i1","homolog_cluster_11026"
"Avas.s001.g1444.i1","homolog_cluster_11054"
"Avas.s001.g1473.i1","homolog_cluster_11063"
"Avas.s001.g1528.i1","homolog_cluster_11082"
"Avas.s001.g1539.i1","homolog_cluster_11086"
"Avas.s001.g1549.i1","homolog_cluster_11088"
"Avas.s001.g1600.i1","homolog_cluster_11107"
"Avas.s001.g1614.i1","homolog_cluster_11115"
"Avas.s001.g1811.i1","homolog_cluster_11165"
"Avas.s001.g1841.i1","homolog_cluster_11177"
"Avas.s001.g1877.i1","homolog_cluster_11186"
"Avas.s001.g1883.i1","homolog_cluster_11188"
"Avas.s001.g1909.i1","homolog_cluster_11197"
"Avas.s001.g1929.i1","homolog_cluster_11208"
"Avas.s001.g1941.i1","homolog_cluster_11212"
"Avas.s001.g1949.i1","homolog_cluster_11214"
"Avas.s001.g1992.i1","homolog_cluster_11234"
"Avas.s001.g2010.i1","homolog_cluster_11239"
"Avas.s001.g2057.i1","homolog_cluster_11255"
"Avas.s001.g2067.i1","homolog_cluster_11259"
"Avas.s001.g2074.i1","homolog_cluster_11260"
"Avas.s001.g2256.i1","homolog_cluster_11265"
"Avas.s001.g2088.i1","homolog_cluster_11266"
"Avas.s001.g2174.i1","homolog_cluster_11298"
"Avas.s001.g2179.i1","homolog_cluster_11301"
"Avas.s001.g2205.i1","homolog_cluster_11313"
"Avas.s001.g2219.i1","homolog_cluster_11319"
"Avas.s001.g2221.i1","homolog_cluster_11320"
"Avas.s001.g2222.i1","homolog_cluster_11321"
"Avas.s001.g2247.i1","homolog_cluster_11327"
"Avas.s002.g38.i1","homolog_cluster_11333"
"Avas.s002.g134.i1","homolog_cluster_11349"
"Avas.s002.g149.i1","homolog_cluster_11352"
"Avas.s002.g243.i1","homolog_cluster_11387"
"Avas.s003.g14.i1","homolog_cluster_11458"
"Avas.s003.g15.i1","homolog_cluster_11459"
"Avas.s003.g51.i1","homolog_cluster_11470"
"Avas.s003.g52.i1","homolog_cluster_11471"
"Avas.s003.g54.i1","homolog_cluster_11472"
"Avas.s003.g218.i1","homolog_cluster_11493"
"Avas.s003.g312.i1","homolog_cluster_11505"
"Avas.s003.g314.i1","homolog_cluster_11506"
"Avas.s003.g364.i1","homolog_cluster_11520"
"Avas.s003.g368.i1","homolog_cluster_11521"
"Avas.s003.g370.i1","homolog_cluster_11522"
"Avas.s003.g372.i1","homolog_cluster_11523"
"Avas.s003.g375.i1","homolog_cluster_11526"
"Avas.s003.g478.i1","homolog_cluster_11560"
"Avas.s003.g524.i1","homolog_cluster_11578"
"Avas.s003.g526.i1","homolog_cluster_11579"
"Avas.s003.g564.i1","homolog_cluster_11588"
"Avas.s003.g710.i1","homolog_cluster_11609"
"Avas.s003.g957.i1","homolog_cluster_11644"
"Avas.s003.g970.i1","homolog_cluster_11652"
"Avas.s003.g993.i1","homolog_cluster_11663"
"Avas.s004.g26.i1","homolog_cluster_11692"
"Avas.s004.g44.i1","homolog_cluster_11697"
"Avas.s004.g153.i1","homolog_cluster_11740"
"Avas.s004.g192.i1","homolog_cluster_11754"
"Avas.s004.g252.i1","homolog_cluster_11765"
"Avas.s004.g324.i1","homolog_cluster_11777"
"Avas.s004.g608.i1","homolog_cluster_11811"
"Avas.s004.g676.i1","homolog_cluster_11833"
"Avas.s004.g681.i1","homolog_cluster_11834"
"Avas.s004.g745.i1","homolog_cluster_11838"
"Avas.s004.g969.i1","homolog_cluster_11854"
"Avas.s005.g225.i1","homolog_cluster_11880"
"Avas.s005.g240.i1","homolog_cluster_11882"
"Avas.s005.g251.i1","homolog_cluster_11886"
"Avas.s005.g302.i1","homolog_cluster_11902"
"Avas.s005.g325.i1","homolog_cluster_11911"
"Avas.s005.g435.i1","homolog_cluster_11945"
"Avas.s005.g488.i1","homolog_cluster_11967"
"Avas.s005.g622.i1","homolog_cluster_12019"
"Avas.s005.g632.i1","homolog_cluster_12020"
"Avas.s005.g652.i1","homolog_cluster_12027"
"Avas.s005.g663.i1","homolog_cluster_12030"
"Avas.s005.g716.i1","homolog_cluster_12046"
"Avas.s005.g756.i1","homolog_cluster_12053"
"Avas.s005.g793.i1","homolog_cluster_12066"
"Avas.s005.g811.i1","homolog_cluster_12070"
"Avas.s005.g857.i1","homolog_cluster_12091"
"Avas.s005.g871.i1","homolog_cluster_12097"
"Avas.s005.g898.i1","homolog_cluster_12108"
"Avas.s005.g910.i1","homolog_cluster_12112"
"Avas.s005.g949.i1","homolog_cluster_12123"
"Avas.s005.g961.i1","homolog_cluster_12127"
"Avas.s005.g991.i1","homolog_cluster_12137"
"Avas.s005.g1020.i1","homolog_cluster_12146"
"Avas.s005.g1236.i1","homolog_cluster_12160"
"Avas.s005.g1140.i1","homolog_cluster_12188"
"Avas.s005.g1143.i1","homolog_cluster_12190"
"Avas.s005.g1159.i1","homolog_cluster_12194"
"Avas.s005.g1169.i1","homolog_cluster_12196"
"Avas.s005.g1197.i1","homolog_cluster_12200"
"Avas.s005.g1224.i1","homolog_cluster_12207"
"Avas.s005.g1232.i1","homolog_cluster_12210"
"Avas.s006.g77.i1","homolog_cluster_12221"
"Avas.s006.g81.i1","homolog_cluster_12223"
"Avas.s006.g88.i1","homolog_cluster_12224"
"Avas.s006.g170.i1","homolog_cluster_12232"
"Avas.s006.g1117.i1","homolog_cluster_12242"
"Avas.s006.g227.i1","homolog_cluster_12243"
"Avas.s006.g234.i1","homolog_cluster_12247"
"Avas.s006.g255.i1","homolog_cluster_12252"
"Avas.s006.g281.i1","homolog_cluster_12264"
"Avas.s006.g306.i1","homolog_cluster_12270"
"Avas.s006.g361.i1","homolog_cluster_12284"
"Avas.s006.g363.i1","homolog_cluster_12285"
"Avas.s006.g368.i1","homolog_cluster_12287"
"Avas.s006.g390.i1","homolog_cluster_12299"
"Avas.s006.g431.i1","homolog_cluster_12310"
"Avas.s006.g439.i1","homolog_cluster_12313"
"Avas.s006.g458.i1","homolog_cluster_12321"
"Avas.s006.g510.i1","homolog_cluster_12334"
"Avas.s006.g1037.i1","homolog_cluster_12378"
"Avas.s006.g1081.i1","homolog_cluster_12391"
"Avas.s007.g140.i1","homolog_cluster_12416"
"Avas.s007.g145.i1","homolog_cluster_12419"
"Avas.s007.g221.i1","homolog_cluster_12437"
"Avas.s007.g233.i1","homolog_cluster_12444"
"Avas.s007.g249.i1","homolog_cluster_12450"
"Avas.s007.g279.i1","homolog_cluster_12460"
"Avas.s007.g369.i1","homolog_cluster_12482"
"Avas.s007.g388.i1","homolog_cluster_12489"
"Avas.s007.g395.i1","homolog_cluster_12491"
"Avas.s007.g701.i1","homolog_cluster_12527"
"Avas.s007.g759.i1","homolog_cluster_12539"
"Avas.s007.g790.i1","homolog_cluster_12548"
"Avas.s007.g806.i1","homolog_cluster_12552"
"Avas.s007.g814.i1","homolog_cluster_12555"
"Avas.s008.g25.i1","homolog_cluster_12580"
"Avas.s008.g39.i1","homolog_cluster_12585"
"Avas.s008.g130.i1","homolog_cluster_12616"
"Avas.s008.g132.i1","homolog_cluster_12617"
"Avas.s008.g143.i1","homolog_cluster_12622"
"Avas.s008.g161.i1","homolog_cluster_12630"
"Avas.s008.g167.i1","homolog_cluster_12633"
"Avas.s008.g2.i1","homolog_cluster_12649"
"Avas.s008.g236.i1","homolog_cluster_12660"
"Avas.s008.g241.i1","homolog_cluster_12662"
"Avas.s008.g421.i1","homolog_cluster_12701"
"Avas.s008.g549.i1","homolog_cluster_12724"
"Avas.s008.g607.i1","homolog_cluster_12742"
"Avas.s008.g664.i1","homolog_cluster_12764"
"Avas.s008.g687.i1","homolog_cluster_12770"
"Avas.s008.g741.i1","homolog_cluster_12790"
"Avas.s008.g748.i1","homolog_cluster_12793"
"Avas.s008.g752.i1","homolog_cluster_12794"
"Avas.s008.g773.i1","homolog_cluster_12802"
"Avas.s008.g783.i1","homolog_cluster_12809"
"Avas.s008.g834.i1","homolog_cluster_12822"
"Avas.s008.g839.i1","homolog_cluster_12825"
"Avas.s008.g879.i1","homolog_cluster_12836"
"Avas.s008.g910.i1","homolog_cluster_12843"
"Avas.s008.g940.i1","homolog_cluster_12848"
"Avas.s008.g1043.i1","homolog_cluster_12854"
"Avas.s008.g1068.i1","homolog_cluster_12860"
"Avas.s009.g305.i1","homolog_cluster_12900"
"Avas.s009.g310.i1","homolog_cluster_12901"
"Avas.s009.g320.i1","homolog_cluster_12904"
"Avas.s009.g356.i1","homolog_cluster_12917"
"Avas.s009.g436.i1","homolog_cluster_12934"
"Avas.s009.g499.i1","homolog_cluster_12949"
"Avas.s009.g504.i1","homolog_cluster_12952"
"Avas.s009.g527.i1","homolog_cluster_12962"
"Avas.s009.g551.i1","homolog_cluster_12965"
"Avas.s009.g555.i1","homolog_cluster_12967"
"Avas.s009.g565.i1","homolog_cluster_12972"
"Avas.s009.g572.i1","homolog_cluster_12974"
"Avas.s009.g670.i1","homolog_cluster_12985"
"Avas.s010.g80.i1","homolog_cluster_13002"
"Avas.s010.g291.i1","homolog_cluster_13024"
"Avas.s010.g334.i1","homolog_cluster_13033"
"Avas.s010.g342.i1","homolog_cluster_13035"
"Avas.s010.g388.i1","homolog_cluster_13041"
"Avas.s010.g415.i1","homolog_cluster_13048"
"Avas.s010.g417.i1","homolog_cluster_13049"
"Avas.s010.g461.i1","homolog_cluster_13062"
"Avas.s010.g483.i1","homolog_cluster_13069"
"Avas.s010.g498.i1","homolog_cluster_13074"
"Avas.s010.g529.i1","homolog_cluster_13088"
"Avas.s010.g543.i1","homolog_cluster_13094"
"Avas.s010.g613.i1","homolog_cluster_13117"
"Avas.s010.g654.i1","homolog_cluster_13121"
"Avas.s010.g659.i1","homolog_cluster_13123"
"Avas.s011.g12.i1","homolog_cluster_13139"
"Avas.s011.g13.i1","homolog_cluster_13140"
"Avas.s011.g15.i1","homolog_cluster_13141"
"Avas.s011.g32.i1","homolog_cluster_13148"
"Avas.s011.g35.i1","homolog_cluster_13149"
"Avas.s011.g62.i1","homolog_cluster_13159"
"Avas.s011.g66.i1","homolog_cluster_13160"
"Avas.s011.g78.i1","homolog_cluster_13167"
"Avas.s011.g93.i1","homolog_cluster_13174"
"Avas.s011.g124.i1","homolog_cluster_13185"
"Avas.s011.g231.i1","homolog_cluster_13196"
"Avas.s011.g507.i1","homolog_cluster_13216"
"Avas.s011.g555.i1","homolog_cluster_13228"
"Avas.s011.g573.i1","homolog_cluster_13236"
"Avas.s011.g687.i1","homolog_cluster_13260"
"Avas.s012.g180.i1","homolog_cluster_13282"
"Avas.s013.g22.i1","homolog_cluster_13303"
"Avas.s013.g23.i1","homolog_cluster_13304"
"Avas.s013.g41.i1","homolog_cluster_13310"
"Avas.s013.g53.i1","homolog_cluster_13317"
"Avas.s013.g55.i1","homolog_cluster_13318"
"Avas.s013.g236.i1","homolog_cluster_13332"
"Avas.s013.g311.i1","homolog_cluster_13340"
"Avas.s013.g369.i1","homolog_cluster_13346"
"Avas.s013.g389.i1","homolog_cluster_13349"
"Avas.s013.g412.i1","homolog_cluster_13354"
"Avas.s013.g413.i1","homolog_cluster_13355"
"Avas.s013.g478.i1","homolog_cluster_13368"
"Avas.s013.g481.i1","homolog_cluster_13369"
"Avas.s013.g491.i1","homolog_cluster_13372"
"Avas.s013.g592.i1","homolog_cluster_13380"
"Avas.s013.g593.i1","homolog_cluster_13381"
"Avas.s013.g604.i1","homolog_cluster_13384"
"Avas.s013.g619.i1","homolog_cluster_13389"
"Avas.s014.g76.i1","homolog_cluster_13415"
"Avas.s014.g84.i1","homolog_cluster_13418"
"Avas.s014.g86.i1","homolog_cluster_13419"
"Avas.s014.g117.i1","homolog_cluster_13432"
"Avas.s014.g217.i1","homolog_cluster_13458"
"Avas.s014.g536.i1","homolog_cluster_13485"
"Avas.s014.g620.i1","homolog_cluster_13509"
"Avas.s014.g649.i1","homolog_cluster_13519"
"Avas.s014.g741.i1","homolog_cluster_13534"
"Avas.s015.g328.i1","homolog_cluster_13584"
"Avas.s015.g337.i1","homolog_cluster_13585"
"Avas.s015.g549.i1","homolog_cluster_13621"
"Avas.s016.g20.i1","homolog_cluster_13629"
"Avas.s016.g62.i1","homolog_cluster_13639"
"Avas.s016.g82.i1","homolog_cluster_13642"
"Avas.s016.g148.i1","homolog_cluster_13649"
"Avas.s016.g155.i1","homolog_cluster_13652"
"Avas.s016.g159.i1","homolog_cluster_13656"
"Avas.s016.g174.i1","homolog_cluster_13660"
"Avas.s016.g180.i1","homolog_cluster_13662"
"Avas.s016.g202.i1","homolog_cluster_13672"
"Avas.s016.g203.i1","homolog_cluster_13673"
"Avas.s016.g207.i1","homolog_cluster_13676"
"Avas.s016.g544.i1","homolog_cluster_13724"
"Avas.s017.g11.i1","homolog_cluster_13731"
"Avas.s017.g17.i1","homolog_cluster_13733"
"Avas.s017.g27.i1","homolog_cluster_13739"
"Avas.s018.g72.i1","homolog_cluster_13792"
"Avas.s018.g93.i1","homolog_cluster_13804"
"Avas.s018.g115.i1","homolog_cluster_13810"
"Avas.s018.g119.i1","homolog_cluster_13812"
"Avas.s018.g1.i1","homolog_cluster_13819"
"Avas.s018.g136.i1","homolog_cluster_13822"
"Avas.s018.g141.i1","homolog_cluster_13825"
"Avas.s019.g66.i1","homolog_cluster_13853"
"Avas.s019.g88.i1","homolog_cluster_13858"
"Avas.s019.g94.i1","homolog_cluster_13859"
"Avas.s019.g104.i1","homolog_cluster_13863"
"Avas.s019.g109.i1","homolog_cluster_13865"
"Avas.s019.g115.i1","homolog_cluster_13866"
"Avas.s019.g134.i1","homolog_cluster_13875"
"Avas.s019.g191.i1","homolog_cluster_13891"
"Avas.s019.g203.i1","homolog_cluster_13892"
"Avas.s019.g233.i1","homolog_cluster_13903"
"Avas.s019.g247.i1","homolog_cluster_13911"
"Avas.s019.g248.i1","homolog_cluster_13912"
"Avas.s019.g264.i1","homolog_cluster_13916"
"Avas.s019.g391.i1","homolog_cluster_13925"
"Avas.s020.g131.i1","homolog_cluster_13959"
"Avas.s020.g187.i1","homolog_cluster_13980"
"Avas.s020.g218.i1","homolog_cluster_13989"
"Avas.s020.g269.i1","homolog_cluster_13998"
"Avas.s020.g309.i1","homolog_cluster_14005"
"Avas.s020.g319.i1","homolog_cluster_14007"
"Avas.s020.g333.i1","homolog_cluster_14010"
"Avas.s020.g343.i1","homolog_cluster_14013"
"Avas.s020.g446.i1","homolog_cluster_14049"
"Avas.s021.g36.i1","homolog_cluster_14076"
"Avas.s021.g63.i1","homolog_cluster_14078"
"Avas.s021.g115.i1","homolog_cluster_14092"
"Avas.s021.g135.i1","homolog_cluster_14099"
"Avas.s021.g136.i1","homolog_cluster_14100"
"Avas.s021.g163.i1","homolog_cluster_14110"
"Avas.s021.g213.i1","homolog_cluster_14124"
"Avas.s021.g244.i1","homolog_cluster_14136"
"Avas.s021.g253.i1","homolog_cluster_14141"
"Avas.s021.g264.i1","homolog_cluster_14145"
"Avas.s021.g280.i1","homolog_cluster_14151"
"Avas.s021.g326.i1","homolog_cluster_14170"
"Avas.s021.g389.i1","homolog_cluster_14191"
"Avas.s021.g406.i1","homolog_cluster_14193"
"Avas.s021.g425.i1","homolog_cluster_14197"
"Avas.s021.g429.i1","homolog_cluster_14200"
"Avas.s022.g18.i1","homolog_cluster_14220"
"Avas.s022.g39.i1","homolog_cluster_14223"
"Avas.s022.g60.i1","homolog_cluster_14225"
"Avas.s022.g100.i1","homolog_cluster_14234"
"Avas.s022.g173.i1","homolog_cluster_14244"
"Avas.s022.g178.i1","homolog_cluster_14245"
"Avas.s022.g251.i1","homolog_cluster_14279"
"Avas.s022.g309.i1","homolog_cluster_14298"
"Avas.s022.g447.i1","homolog_cluster_14318"
"Avas.s022.g452.i1","homolog_cluster_14320"
"Avas.s023.g46.i1","homolog_cluster_14341"
"Avas.s023.g65.i1","homolog_cluster_14346"
"Avas.s023.g68.i1","homolog_cluster_14347"
"Avas.s023.g69.i1","homolog_cluster_14348"
"Avas.s023.g95.i1","homolog_cluster_14358"
"Avas.s023.g120.i1","homolog_cluster_14369"
"Avas.s023.g126.i1","homolog_cluster_14372"
"Avas.s023.g132.i1","homolog_cluster_14375"
"Avas.s023.g159.i1","homolog_cluster_14383"
"Avas.s023.g183.i1","homolog_cluster_14393"
"Avas.s023.g194.i1","homolog_cluster_14395"
"Avas.s023.g221.i1","homolog_cluster_14400"
"Avas.s023.g294.i1","homolog_cluster_14407"
"Avas.s025.g22.i1","homolog_cluster_14424"
"Avas.s003.g678.i1","homolog_cluster_17264"
"Avas.s001.g1257.i1","homolog_cluster_17499"
"Avas.s009.g738.i1","homolog_cluster_17535"
"Avas.s017.g24.i1","homolog_cluster_17576"
"Avas.s001.g1293.i1","homolog_cluster_18208"
"Avas.s001.g1475.i1","homolog_cluster_18217"
"Avas.s001.g1844.i1","homolog_cluster_18237"
"Avas.s002.g427.i1","homolog_cluster_18265"
"Avas.s003.g379.i1","homolog_cluster_18298"
"Avas.s003.g1047.i1","homolog_cluster_18326"
"Avas.s003.g1049.i1","homolog_cluster_18327"
"Avas.s004.g3.i1","homolog_cluster_18334"
"Avas.s004.g371.i1","homolog_cluster_18341"
"Avas.s005.g283.i1","homolog_cluster_18377"
"Avas.s005.g826.i1","homolog_cluster_18379"
"Avas.s005.g852.i1","homolog_cluster_18394"
"Avas.s005.g1028.i1","homolog_cluster_18401"
"Avas.s005.g1094.i1","homolog_cluster_18403"
"Avas.s005.g1175.i1","homolog_cluster_18408"
"Avas.s006.g1115.i1","homolog_cluster_18420"
"Avas.s006.g515.i1","homolog_cluster_18440"
"Avas.s006.g555.i1","homolog_cluster_18441"
"Avas.s007.g345.i1","homolog_cluster_18474"
"Avas.s008.g457.i1","homolog_cluster_18512"
"Avas.s008.g563.i1","homolog_cluster_18520"
"Avas.s008.g660.i1","homolog_cluster_18523"
"Avas.s008.g781.i1","homolog_cluster_18526"
"Avas.s009.g644.i1","homolog_cluster_18568"
"Avas.s010.g292.i1","homolog_cluster_18586"
"Avas.s010.g299.i1","homolog_cluster_18588"
"Avas.s010.g664.i1","homolog_cluster_18596"
"Avas.s011.g91.i1","homolog_cluster_18606"
"Avas.s011.g708.i1","homolog_cluster_18628"
"Avas.s014.g12.i1","homolog_cluster_18673"
"Avas.s015.g561.i1","homolog_cluster_18717"
"Avas.s016.g154.i1","homolog_cluster_18728"
"Avas.s016.g296.i1","homolog_cluster_18734"
"Avas.s017.g66.i1","homolog_cluster_18747"
"Avas.s018.g102.i1","homolog_cluster_18762"
"Avas.s019.g61.i1","homolog_cluster_18776"
"Avas.s019.g344.i1","homolog_cluster_18786"
"Avas.s020.g267.i1","homolog_cluster_18799"
"Avas.s021.g260.i1","homolog_cluster_18813"
"Avas.s021.g421.i1","homolog_cluster_18819"
"Avas.s021.g424.i1","homolog_cluster_18820"
"Avas.s022.g525.i1","homolog_cluster_18839"
"Avas.s024.g164.i1","homolog_cluster_18857"
"Avas.s006.g199.i1","homolog_cluster_30854"
"Avas.s001.g2043.i1","homolog_cluster_31553"
"Avas.s013.g431.i1","homolog_cluster_31675"
"Avas.s011.g490.i1","homolog_cluster_31791"
"Avas.s002.g344.i1","homolog_cluster_31959"
