Contig13501	axis	1	40000	True
39896_001	gene	1	1534	-
39897_001	gene	1478	2891	+
39898_001	gene	2250	5483	-
39899_001	gene	5398	7386	+
39900_001	gene	6120	10031	-
39901_001	gene	10076	10744	-
39902_001	gene	10735	14654	-
39903_001	gene	12715	12865	+
39904_001	gene	14691	16954	+
39905_001	gene	16233	19103	-
39906_001	gene	19057	25217	+
39907_001	gene	24917	25801	-
39908_001	gene	25842	48106	+
39909_001	gene	31986	36978	-
39910_001	gene	37010	38887	-
39911_001	gene	39882	41564	-
