Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_003	12	5745	451
ONT_TR_PE_scaff_008	13	10381	791
ONT_TR_PE_scaff_009	123	103813	839
ONT_TR_PE_scaff_016	147	157631	1072
ONT_TR_PE_scaff_019	2	1677	648
ONT_TR_PE_scaff_023	92	112590	1211
ONT_TR_PE_scaff_024	73	91672	1240
ONT_TR_PE_scaff_026	120	153511	1270
ONT_TR_PE_scaff_032	20	28176	1356
ONT_TR_PE_scaff_034	103	141863	1371
ONT_TR_PE_scaff_037	234	337522	1438
ONT_TR_PE_scaff_038	66	95595	1440
ONT_TR_PE_scaff_039	86	124961	1445
ONT_TR_PE_scaff_040	443	642075	1448
ONT_TR_PE_scaff_041	47	69831	1471
ONT_TR_PE_scaff_043	46	71638	1533
ONT_TR_PE_scaff_045	24	39957	1613
ONT_TR_PE_scaff_046	154	248715	1611
ONT_TR_PE_scaff_050	403	679092	1685
ONT_TR_PE_scaff_051	64	111239	1716
ONT_TR_PE_scaff_052	106	183992	1721
ONT_TR_PE_scaff_053	59	102668	1721
ONT_TR_PE_scaff_054	503	818542	1627
ONT_TR_PE_scaff_059	98	193134	1955
ONT_TR_PE_scaff_060	24	48215	2007
ONT_TR_PE_scaff_061	166	338102	2027
ONT_TR_PE_scaff_062	75	157945	2092
ONT_TR_PE_scaff_064	175	296213	1685
ONT_TR_PE_scaff_065	150	328882	2186
ONT_TR_PE_scaff_066	49	108071	2200
ONT_TR_PE_scaff_070	21	48186	2208
ONT_TR_PE_scaff_075	50	118251	2322
ONT_TR_PE_scaff_077	73	174401	2358
ONT_TR_PE_scaff_078	231	552222	2381
ONT_TR_PE_scaff_080	71	181242	2521
ONT_TR_PE_scaff_082	28	71328	2544
ONT_TR_PE_scaff_083	589	1527093	2590
ONT_TR_PE_scaff_084	235	611842	2597
ONT_TR_PE_scaff_086	26	70838	2641
ONT_TR_PE_scaff_090	139	336181	2413
ONT_TR_PE_scaff_093	19	58645	2934
ONT_TR_PE_scaff_095	32	97429	3012
ONT_TR_PE_scaff_096	95	289245	3037
ONT_TR_PE_scaff_097	85	258620	3039
ONT_TR_PE_scaff_099	133	406664	3052
ONT_TR_PE_scaff_100	32	101299	3078
ONT_TR_PE_scaff_103	398	1246888	3131
ONT_TR_PE_scaff_104	60	193187	3178
ONT_TR_PE_scaff_105	193	616305	3192
ONT_TR_PE_scaff_106	53	157506	2921
ONT_TR_PE_scaff_109	88	292660	3293
ONT_TR_PE_scaff_113	87	294028	3356
ONT_TR_PE_scaff_114	567	1913340	3370
ONT_TR_PE_scaff_115	78	269161	3426
ONT_TR_PE_scaff_116	204	700087	3420
ONT_TR_PE_scaff_117	640	2222220	3470
ONT_TR_PE_scaff_119	66	238739	3591
ONT_TR_PE_scaff_121	35	128378	3608
ONT_TR_PE_scaff_122	65	239423	3682
ONT_TR_PE_scaff_123	68	251735	3690
ONT_TR_PE_scaff_129	137	562136	4101
ONT_TR_PE_scaff_133	23	99984	4232
ONT_TR_PE_scaff_139	70	300020	4274
ONT_TR_PE_scaff_140	71	321822	4482
ONT_TR_PE_scaff_141	83	378613	4530
ONT_TR_PE_scaff_146	207	983246	4737
ONT_TR_PE_scaff_149	27	132721	4863
ONT_TR_PE_scaff_151	26	127442	4900
ONT_TR_PE_scaff_153	82	414338	5019
ONT_TR_PE_scaff_154	47	238157	5048
ONT_TR_PE_scaff_157	32	166316	5176
ONT_TR_PE_scaff_159	118	605193	5123
ONT_TR_PE_scaff_160	75	394734	5211
ONT_TR_PE_scaff_161	87	457878	5211
ONT_TR_PE_scaff_162	55	288237	5234
ONT_TR_PE_scaff_163	42	219456	5196
ONT_TR_PE_scaff_166	173	912354	5256
ONT_TR_PE_scaff_167	24	132860	5375
ONT_TR_PE_scaff_169	34	187524	5413
ONT_TR_PE_scaff_170	58	319469	5431
ONT_TR_PE_scaff_171	74	405870	5471
ONT_TR_PE_scaff_172	49	269357	5497
ONT_TR_PE_scaff_174	94	505131	5325
ONT_TR_PE_scaff_175	29	163988	5625
ONT_TR_PE_scaff_176	48	273195	5588
ONT_TR_PE_scaff_177	118	669870	5664
ONT_TR_PE_scaff_179	30	173474	5768
ONT_TR_PE_scaff_181	87	510725	5849
ONT_TR_PE_scaff_183	27	159759	5781
ONT_TR_PE_scaff_184	27	163115	5913
ONT_TR_PE_scaff_185	26	159481	5972
ONT_TR_PE_scaff_186	35	215121	5977
ONT_TR_PE_scaff_187	27	166572	6007
