GID;CHROMOSOME
Avas.s001.g2.i1;1
Avas.s001.g7.i1;1
Avas.s001.g8.i1;1
Avas.s001.g9.i1;1
Avas.s001.g10.i1;1
Avas.s001.g16.i1;1
Avas.s001.g21.i1;1
Avas.s001.g24.i1;1
Avas.s001.g26.i1;1
Avas.s001.g28.i1;1
Avas.s001.g30.i1;1
Avas.s001.g31.i1;1
Avas.s001.g32.i1;1
Avas.s001.g33.i1;1
Avas.s001.g39.i1;1
Avas.s001.g47.i1;1
Avas.s001.g49.i1;1
Avas.s001.g55.i1;1
Avas.s001.g56.i1;1
Avas.s001.g58.i1;1
Avas.s001.g65.i1;1
Avas.s001.g66.i1;1
Avas.s001.g76.i1;1
Avas.s001.g77.i1;1
Avas.s001.g78.i1;1
Avas.s001.g98.i1;1
Avas.s001.g100.i1;1
Avas.s001.g101.i1;1
Avas.s001.g108.i1;1
Avas.s001.g109.i1;1
Avas.s001.g110.i1;1
Avas.s001.g111.i1;1
Avas.s001.g112.i1;1
Avas.s001.g115.i1;1
Avas.s001.g116.i1;1
Avas.s001.g117.i1;1
Avas.s001.g118.i1;1
Avas.s001.g120.i1;1
Avas.s001.g121.i1;1
Avas.s001.g123.i1;1
Avas.s001.g124.i1;1
Avas.s001.g128.i1;1
Avas.s001.g129.i1;1
Avas.s001.g130.i1;1
Avas.s001.g132.i1;1
Avas.s001.g135.i1;1
Avas.s001.g136.i1;1
Avas.s001.g137.i1;1
Avas.s001.g139.i1;1
Avas.s001.g141.i1;1
Avas.s001.g143.i1;1
Avas.s001.g144.i1;1
Avas.s001.g145.i1;1
Avas.s001.g146.i1;1
Avas.s001.g148.i1;1
Avas.s001.g149.i1;1
Avas.s001.g150.i1;1
Avas.s001.g151.i1;1
Avas.s001.g154.i1;1
Avas.s001.g155.i1;1
Avas.s001.g156.i1;1
Avas.s001.g157.i1;1
Avas.s001.g159.i1;1
Avas.s001.g161.i1;1
Avas.s001.g163.i1;1
Avas.s001.g167.i1;1
Avas.s001.g169.i1;1
Avas.s001.g171.i1;1
Avas.s001.g174.i1;1
Avas.s001.g182.i1;1
Avas.s001.g187.i1;1
Avas.s001.g189.i1;1
Avas.s001.g192.i1;1
Avas.s001.g196.i1;1
Avas.s001.g202.i1;1
Avas.s001.g204.i1;1
Avas.s001.g205.i1;1
Avas.s001.g206.i1;1
Avas.s001.g207.i1;1
Avas.s001.g209.i1;1
Avas.s001.g211.i1;1
Avas.s001.g214.i1;1
Avas.s001.g226.i1;1
Avas.s001.g230.i1;1
Avas.s001.g233.i1;1
Avas.s001.g235.i1;1
Avas.s001.g237.i1;1
Avas.s001.g239.i1;1
Avas.s001.g240.i1;1
Avas.s001.g241.i1;1
Avas.s001.g242.i1;1
Avas.s001.g246.i1;1
Avas.s001.g250.i1;1
Avas.s001.g251.i1;1
Avas.s001.g252.i1;1
Avas.s001.g253.i1;1
Avas.s001.g254.i1;1
Avas.s001.g256.i1;1
Avas.s001.g257.i1;1
Avas.s001.g258.i1;1
Avas.s001.g259.i1;1
Avas.s001.g281.i1;1
Avas.s001.g290.i1;1
Avas.s001.g298.i1;1
Avas.s001.g304.i1;1
Avas.s001.g305.i1;1
Avas.s001.g306.i1;1
Avas.s001.g307.i1;1
Avas.s001.g309.i1;1
Avas.s001.g325.i1;1
Avas.s001.g334.i1;1
Avas.s001.g335.i1;1
Avas.s001.g336.i1;1
Avas.s001.g337.i1;1
Avas.s001.g338.i1;1
Avas.s001.g340.i1;1
Avas.s001.g341.i1;1
Avas.s001.g342.i1;1
Avas.s001.g343.i1;1
Avas.s001.g344.i1;1
Avas.s001.g347.i1;1
Avas.s001.g352.i1;1
Avas.s001.g356.i1;1
Avas.s001.g363.i1;1
Avas.s001.g366.i1;1
Avas.s001.g367.i1;1
Avas.s001.g369.i1;1
Avas.s001.g377.i1;1
Avas.s001.g378.i1;1
Avas.s001.g379.i1;1
Avas.s001.g383.i1;1
Avas.s001.g384.i1;1
Avas.s001.g385.i1;1
Avas.s001.g389.i1;1
Avas.s001.g390.i1;1
Avas.s001.g393.i1;1
Avas.s001.g397.i1;1
Avas.s001.g398.i1;1
Avas.s001.g399.i1;1
Avas.s001.g400.i1;1
Avas.s001.g403.i1;1
Avas.s001.g407.i1;1
Avas.s001.g408.i1;1
Avas.s001.g416.i1;1
Avas.s001.g418.i1;1
Avas.s001.g428.i1;1
Avas.s001.g432.i1;1
Avas.s001.g433.i1;1
Avas.s001.g439.i1;1
Avas.s001.g440.i1;1
Avas.s001.g441.i1;1
Avas.s001.g448.i1;1
Avas.s001.g450.i1;1
Avas.s001.g451.i1;1
Avas.s001.g453.i1;1
Avas.s001.g454.i1;1
Avas.s001.g455.i1;1
Avas.s001.g456.i1;1
Avas.s001.g459.i1;1
Avas.s001.g461.i1;1
Avas.s001.g463.i1;1
Avas.s001.g465.i1;1
Avas.s001.g466.i1;1
Avas.s001.g472.i1;1
Avas.s001.g488.i1;1
Avas.s001.g494.i1;1
Avas.s001.g496.i1;1
Avas.s001.g499.i1;1
Avas.s001.g502.i1;1
Avas.s001.g503.i1;1
Avas.s001.g505.i1;1
Avas.s001.g512.i1;1
Avas.s001.g513.i1;1
Avas.s001.g517.i1;1
Avas.s001.g519.i1;1
Avas.s001.g521.i1;1
Avas.s001.g524.i1;1
Avas.s001.g525.i1;1
Avas.s001.g530.i1;1
Avas.s001.g531.i1;1
Avas.s001.g533.i1;1
Avas.s001.g540.i1;1
Avas.s001.g545.i1;1
Avas.s001.g548.i1;1
Avas.s001.g552.i1;1
Avas.s001.g554.i1;1
Avas.s001.g555.i1;1
Avas.s001.g557.i1;1
Avas.s001.g563.i1;1
Avas.s001.g564.i1;1
Avas.s001.g568.i1;1
Avas.s001.g569.i1;1
Avas.s001.g575.i1;1
Avas.s001.g577.i1;1
Avas.s001.g580.i1;1
Avas.s001.g588.i1;1
Avas.s001.g591.i1;1
Avas.s001.g592.i1;1
Avas.s001.g593.i1;1
Avas.s001.g599.i1;1
Avas.s001.g602.i1;1
Avas.s001.g604.i1;1
Avas.s001.g604.i2;1
Avas.s001.g605.i1;1
Avas.s001.g606.i1;1
Avas.s001.g607.i1;1
Avas.s001.g609.i1;1
Avas.s001.g610.i1;1
Avas.s001.g612.i1;1
Avas.s001.g613.i1;1
Avas.s001.g616.i1;1
Avas.s001.g617.i1;1
Avas.s001.g619.i1;1
Avas.s001.g621.i1;1
Avas.s001.g625.i1;1
Avas.s001.g626.i1;1
Avas.s001.g627.i1;1
Avas.s001.g628.i1;1
Avas.s001.g629.i1;1
Avas.s001.g630.i1;1
Avas.s001.g631.i1;1
Avas.s001.g637.i1;1
Avas.s001.g647.i1;1
Avas.s001.g648.i1;1
Avas.s001.g649.i1;1
Avas.s001.g651.i1;1
Avas.s001.g656.i1;1
Avas.s001.g659.i1;1
Avas.s001.g666.i1;1
Avas.s001.g670.i1;1
Avas.s001.g672.i1;1
Avas.s001.g673.i1;1
Avas.s001.g675.i1;1
Avas.s001.g682.i1;1
Avas.s001.g694.i1;1
Avas.s001.g698.i1;1
Avas.s001.g703.i1;1
Avas.s001.g710.i1;1
Avas.s001.g719.i1;1
Avas.s001.g727.i1;1
Avas.s001.g732.i1;1
Avas.s001.g735.i1;1
Avas.s001.g737.i1;1
Avas.s001.g738.i1;1
Avas.s001.g739.i1;1
Avas.s001.g740.i1;1
Avas.s001.g745.i1;1
Avas.s001.g755.i1;1
Avas.s001.g757.i1;1
Avas.s001.g759.i1;1
Avas.s001.g763.i1;1
Avas.s001.g764.i1;1
Avas.s001.g765.i1;1
Avas.s001.g766.i1;1
Avas.s001.g767.i1;1
Avas.s001.g768.i1;1
Avas.s001.g769.i1;1
Avas.s001.g774.i1;1
Avas.s001.g775.i1;1
Avas.s001.g776.i1;1
Avas.s001.g780.i1;1
Avas.s001.g781.i1;1
Avas.s001.g782.i1;1
Avas.s001.g784.i1;1
Avas.s001.g786.i1;1
Avas.s001.g787.i1;1
Avas.s001.g788.i1;1
Avas.s001.g796.i1;1
Avas.s001.g797.i1;1
Avas.s001.g799.i1;1
Avas.s001.g801.i1;1
Avas.s001.g802.i1;1
Avas.s001.g803.i1;1
Avas.s001.g810.i1;1
Avas.s001.g811.i1;1
Avas.s001.g815.i1;1
Avas.s001.g817.i1;1
Avas.s001.g819.i1;1
Avas.s001.g822.i1;1
Avas.s001.g824.i1;1
Avas.s001.g825.i1;1
Avas.s001.g829.i1;1
Avas.s001.g830.i1;1
Avas.s001.g831.i1;1
Avas.s001.g838.i1;1
Avas.s001.g843.i1;1
Avas.s001.g844.i1;1
Avas.s001.g848.i1;1
Avas.s001.g849.i1;1
Avas.s001.g850.i1;1
Avas.s001.g856.i1;1
Avas.s001.g857.i1;1
Avas.s001.g859.i1;1
Avas.s001.g860.i1;1
Avas.s001.g861.i1;1
Avas.s001.g862.i1;1
Avas.s001.g865.i1;1
Avas.s001.g870.i1;1
Avas.s001.g873.i1;1
Avas.s001.g874.i1;1
Avas.s001.g876.i1;1
Avas.s001.g877.i1;1
Avas.s001.g878.i1;1
Avas.s001.g879.i1;1
Avas.s001.g881.i1;1
Avas.s001.g883.i1;1
Avas.s001.g884.i1;1
Avas.s001.g885.i1;1
Avas.s001.g892.i1;1
Avas.s001.g893.i1;1
Avas.s001.g894.i1;1
Avas.s001.g895.i1;1
Avas.s001.g898.i1;1
Avas.s001.g899.i1;1
Avas.s001.g900.i1;1
Avas.s001.g902.i1;1
Avas.s001.g902.i2;1
Avas.s001.g902.i3;1
Avas.s001.g907.i1;1
Avas.s001.g908.i1;1
Avas.s001.g909.i1;1
Avas.s001.g910.i1;1
Avas.s001.g911.i1;1
Avas.s001.g912.i1;1
Avas.s001.g913.i1;1
Avas.s001.g915.i1;1
Avas.s001.g918.i1;1
Avas.s001.g920.i1;1
Avas.s001.g921.i1;1
Avas.s001.g922.i1;1
Avas.s001.g923.i1;1
Avas.s001.g927.i1;1
Avas.s001.g928.i1;1
Avas.s001.g931.i1;1
Avas.s001.g932.i1;1
Avas.s001.g933.i1;1
Avas.s001.g936.i1;1
Avas.s001.g938.i1;1
Avas.s001.g939.i1;1
Avas.s001.g941.i1;1
Avas.s001.g943.i1;1
Avas.s001.g944.i1;1
Avas.s001.g945.i1;1
Avas.s001.g946.i1;1
Avas.s001.g948.i1;1
Avas.s001.g950.i1;1
Avas.s001.g951.i1;1
Avas.s001.g953.i1;1
Avas.s001.g954.i1;1
Avas.s001.g955.i1;1
