Aphrocallistes_vastus_HiC-scaffold_014	axis	2465000	2490000	.
g616	mRNA	2465053	2466891	-
g616	exon	2465053	2465362	-
g616	exon	2465638	2466334	-
g616	exon	2466501	2466891	-
g617	mRNA	2467917	2486745	-
g617	exon	2467917	2468281	-
g617	exon	2468641	2468988	-
g617	exon	2469304	2469429	-
g617	exon	2469547	2469660	-
g617	exon	2469803	2469922	-
g617	exon	2470376	2470501	-
g617	exon	2471391	2471513	-
g617	exon	2471683	2471790	-
g617	exon	2471926	2472042	-
g617	exon	2472105	2472230	-
g617	exon	2472479	2472598	-
g617	exon	2472731	2472859	-
g617	exon	2473003	2473110	-
g617	exon	2474346	2474453	-
g617	exon	2474647	2474763	-
g617	exon	2474826	2474951	-
g617	exon	2475200	2475319	-
g617	exon	2475452	2475580	-
g617	exon	2475808	2475927	-
g617	exon	2476005	2476127	-
g617	exon	2476199	2476318	-
g617	exon	2476519	2476641	-
g617	exon	2476704	2476811	-
g617	exon	2476952	2477071	-
g617	exon	2477151	2477267	-
g617	exon	2477405	2477527	-
g617	exon	2477653	2477784	-
g617	exon	2480216	2480338	-
g617	exon	2480543	2480733	-
g617	exon	2481455	2481665	-
g617	exon	2483399	2483655	-
g617	exon	2484530	2484667	-
g617	exon	2485919	2486033	-
g617	exon	2486127	2486306	-
g617	exon	2486547	2486745	-
g618	mRNA	2478051	2479337	-
g618	exon	2478051	2479337	-
g619	mRNA	2481776	2482810	-
g619	exon	2481776	2482810	-
g620	mRNA	2488683	2489490	+
g620	exon	2488683	2488860	+
g620	exon	2489057	2489490	+
