JAKMXF010000144.1	axis	410000	430000	.
1271	mRNA	410092	410778	+
1271	exon	410092	410778	+
1272	mRNA	411025	412434	-
1272	exon	411025	412434	-
1273	mRNA	412691	413110	-
1273	exon	412691	413110	-
1274	mRNA	413253	416506	-
1274	exon	413253	414528	-
1274	exon	414583	414990	-
1274	exon	415303	415512	-
1274	exon	415646	416127	-
1274	exon	416483	416506	-
1275	mRNA	416572	417495	+
1275	exon	416572	416894	+
1275	exon	417138	417495	+
1276	mRNA	418035	419109	+
1276	exon	418035	418570	+
1276	exon	418629	419109	+
1277	mRNA	419485	420747	+
1277	exon	419485	420747	+
1278	mRNA	421346	422134	+
1278	exon	421346	422134	+
1279	mRNA	422385	423381	-
1279	exon	422385	422732	-
1279	exon	423034	423381	-
1280	mRNA	424092	425222	-
1280	exon	424092	425222	-
1281	mRNA	425481	426419	-
1281	exon	425481	425717	-
1281	exon	425770	425981	-
1281	exon	426034	426187	-
1281	exon	426240	426419	-
1282	mRNA	426531	428143	-
1282	exon	426531	427033	-
1282	exon	427087	427459	-
1282	exon	427796	428143	-
1283	mRNA	428213	429470	+
1283	exon	428213	429399	+
1283	exon	429467	429470	+
1284	mRNA	429502	430366	-
1284	exon	429502	429983	-
