s1	Aphrocallistes_vastus_HiC-scaffold_022	22	1744046	0.021714	73090747	0.909994	-
g	Avas.s022.g1.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	72343403.0	0	0
g	Avas.s022.g2.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	72820688.5	0	0
g	Avas.s022.g3.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71347203.0	0	0
g	Avas.s022.g4.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71348642.0	0	0
g	Avas.s022.g5.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71349656.0	0	0
g	Avas.s022.g6.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71351781.5	0	0
g	Avas.s022.g7.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_3706.mRNA.1	JAKMXF010000288.1	71354791.0	33771596.5	193.0
g	Avas.s022.g8.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16300.mRNA.1	JAKMXF010000133.1	71360103.5	23868334.0	594.0
g	Avas.s022.g9.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_13462.mRNA.1	JAKMXF010000011.1	71365322.5	14743484.5	1341.0
g	Avas.s022.g10.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71367657.5	0	0
g	Avas.s022.g11.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_6415.mRNA.1	JAKMXF010000317.1	71370661.5	43250839.5	300.0
g	Avas.s022.g12.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_6642.mRNA.1	JAKMXF010000319.1	71373355.5	44376874.0	201.0
g	Avas.s022.g13.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_13668.mRNA.1	JAKMXF010000022.1	71377047.5	15273929.0	99.8
g	Avas.s022.g14.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_7052.mRNA.1	JAKMXF010000325.1	71380248.5	46014050.0	116.0
g	Avas.s022.g15.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71389811.0	0	0
g	Avas.s022.g16.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71391107.0	0	0
g	Avas.s022.g17.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71396038.0	0	0
g	Avas.s022.g18.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16301.mRNA.1	JAKMXF010000133.1	71399046.0	23872740.5	741.0
g	Avas.s022.g19.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16302.mRNA.1	JAKMXF010000133.1	71404024.0	23875967.5	416.0
g	Avas.s022.g20.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71408088.5	0	0
g	Avas.s022.g21.i1	Aphrocallistes_vastus_HiC-scaffold_022	LOD99_16306.mRNA.1	JAKMXF010000133.1	71425696.0	23897550.0	3515.0
