"transcript","L1"
"Avas.s001.g47.i1","paralog_cluster_00107"
"Avas.s014.g146.i1","paralog_cluster_00107"
"Avas.s002.g429.i1","paralog_cluster_00108"
"Avas.s003.g185.i1","paralog_cluster_00108"
"Avas.s024.g158.i1","paralog_cluster_00162"
"Avas.s001.g1702.i1","paralog_cluster_00215"
"Avas.s020.g106.i1","paralog_cluster_00215"
"Avas.s001.g226.i1","paralog_cluster_00247"
"Avas.s004.g417.i1","paralog_cluster_00247"
"Avas.s021.g69.i1","paralog_cluster_00247"
"Avas.s003.g103.i1","paralog_cluster_00259"
"Avas.s005.g259.i1","paralog_cluster_00259"
"Avas.s005.g267.i1","paralog_cluster_00259"
"Avas.s005.g486.i1","paralog_cluster_00259"
"Avas.s008.g282.i1","paralog_cluster_00269"
"Avas.s007.g798.i1","paralog_cluster_00306"
"Avas.s007.g799.i1","paralog_cluster_00306"
"Avas.s011.g646.i1","paralog_cluster_00320"
"Avas.s014.g600.i1","paralog_cluster_00321"
"Avas.s021.g449.i1","paralog_cluster_00374"
"Avas.s001.g1102.i1","paralog_cluster_00385"
"Avas.s001.g645.i1","paralog_cluster_00385"
"Avas.s007.g329.i1","paralog_cluster_00386"
"Avas.s005.g810.i1","paralog_cluster_00387"
"Avas.s001.g2144.i1","paralog_cluster_00415"
"Avas.s005.g861.i1","paralog_cluster_00415"
"Avas.s020.g108.i1","paralog_cluster_00446"
"Avas.s008.g283.i1","paralog_cluster_00513"
"Avas.s021.g485.i1","paralog_cluster_00540"
"Avas.s011.g654.i1","paralog_cluster_00544"
"Avas.s019.g261.i1","paralog_cluster_00544"
"Avas.s022.g249.i1","paralog_cluster_00544"
"Avas.s022.g9.i1","paralog_cluster_00592"
"Avas.s009.g400.i1","paralog_cluster_00594"
"Avas.s013.g346.i1","paralog_cluster_00595"
"Avas.s016.g376.i1","paralog_cluster_00744"
"Avas.s004.g140.i1","paralog_cluster_00749"
"Avas.s006.g506.i1","paralog_cluster_00778"
"Avas.s007.g864.i1","paralog_cluster_00793"
"Avas.s011.g417.i1","paralog_cluster_00838"
"Avas.s022.g268.i1","paralog_cluster_00838"
"Avas.s003.g260.i1","paralog_cluster_00840"
"Avas.s005.g1153.i1","paralog_cluster_00940"
"Avas.s001.g1620.i1","paralog_cluster_01011"
"Avas.s020.g171.i1","paralog_cluster_01013"
"Avas.s004.g138.i1","paralog_cluster_01014"
"Avas.s005.g235.i1","paralog_cluster_01016"
"Avas.s004.g600.i1","paralog_cluster_01141"
"Avas.s003.g955.i1","paralog_cluster_01158"
"Avas.s021.g335.i1","paralog_cluster_01167"
"Avas.s021.g123.i1","paralog_cluster_01168"
"Avas.s005.g931.i1","paralog_cluster_01354"
"Avas.s003.g385.i1","paralog_cluster_01475"
"Avas.s015.g314.i1","paralog_cluster_01501"
"Avas.s053.g5.i1","paralog_cluster_01505"
"Avas.s001.g1812.i1","paralog_cluster_01887"
"Avas.s009.g319.i1","paralog_cluster_01917"
"Avas.s023.g123.i1","paralog_cluster_01941"
"Avas.s002.g260.i1","paralog_cluster_02146"
"Avas.s006.g1089.i1","paralog_cluster_02178"
"Avas.s001.g2248.i1","paralog_cluster_02491"
"Avas.s014.g497.i1","paralog_cluster_02511"
"Avas.s003.g540.i1","paralog_cluster_02840"
"Avas.s004.g585.i1","paralog_cluster_02853"
"Avas.s006.g626.i1","paralog_cluster_02856"
"Avas.s013.g458.i1","paralog_cluster_02894"
"Avas.s019.g225.i1","paralog_cluster_02924"
"Avas.s001.g1345.i1","paralog_cluster_03142"
"Avas.s001.g1527.i1","paralog_cluster_03145"
"Avas.s022.g172.i1","paralog_cluster_03270"
"Avas.s022.g250.i1","paralog_cluster_03272"
"Avas.s001.g1066.i1","paralog_cluster_03466"
"Avas.s019.g274.i1","paralog_cluster_03500"
"Avas.s016.g175.i1","paralog_cluster_03569"
"Avas.s019.g132.i1","paralog_cluster_03585"
"Avas.s008.g185.i1","paralog_cluster_04220"
"Avas.s006.g1118.i1","paralog_cluster_04600"
"Avas.s001.g1468.i1","paralog_cluster_04994"
"Avas.s005.g778.i1","paralog_cluster_05028"
"Avas.s014.g223.i1","paralog_cluster_06309"
