"transcript","L1"
"Avas.s011.g70.i1","homolog_cluster_02895"
"Avas.s009.g306.i1","homolog_cluster_03549"
"Avas.s008.g854.i1","homolog_cluster_04199"
"Avas.s010.g361.i1","homolog_cluster_04232"
"Avas.s014.g693.i1","homolog_cluster_04590"
"Avas.s007.g224.i1","homolog_cluster_04607"
"Avas.s018.g88.i1","homolog_cluster_04639"
"Avas.s014.g695.i1","homolog_cluster_05590"
"Avas.s016.g18.i1","homolog_cluster_05593"
"Avas.s008.g828.i1","homolog_cluster_06279"
"Avas.s010.g497.i1","homolog_cluster_06289"
"Avas.s020.g419.i1","homolog_cluster_06337"
