Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_002	2856	1385374	485
ONT_TR_PE_scaff_003	39	23431	597
ONT_TR_PE_scaff_008	22	17884	791
ONT_TR_PE_scaff_009	108	91034	840
ONT_TR_PE_scaff_011	1	1724	933
ONT_TR_PE_scaff_016	175	188524	1072
ONT_TR_PE_scaff_019	12	14489	1141
ONT_TR_PE_scaff_023	35	43379	1211
ONT_TR_PE_scaff_024	70	87795	1240
ONT_TR_PE_scaff_026	122	155408	1270
ONT_TR_PE_scaff_032	29	39456	1356
ONT_TR_PE_scaff_034	116	159050	1371
ONT_TR_PE_scaff_037	292	420223	1438
ONT_TR_PE_scaff_038	113	164105	1440
ONT_TR_PE_scaff_039	87	126051	1446
ONT_TR_PE_scaff_040	423	613281	1448
ONT_TR_PE_scaff_041	50	74739	1471
ONT_TR_PE_scaff_043	42	65443	1533
ONT_TR_PE_scaff_045	46	75622	1613
ONT_TR_PE_scaff_046	181	293009	1614
ONT_TR_PE_scaff_050	308	520416	1685
ONT_TR_PE_scaff_051	45	78833	1717
ONT_TR_PE_scaff_052	112	194058	1721
ONT_TR_PE_scaff_053	70	122021	1724
ONT_TR_PE_scaff_054	169	309601	1826
ONT_TR_PE_scaff_059	113	222409	1955
ONT_TR_PE_scaff_060	18	36238	2007
ONT_TR_PE_scaff_061	197	401117	2027
ONT_TR_PE_scaff_062	58	123274	2093
ONT_TR_PE_scaff_064	51	110495	2162
ONT_TR_PE_scaff_065	102	223674	2186
ONT_TR_PE_scaff_066	53	117219	2200
ONT_TR_PE_scaff_070	10	23103	2226
ONT_TR_PE_scaff_075	36	85484	2322
ONT_TR_PE_scaff_077	83	197655	2358
ONT_TR_PE_scaff_078	255	610026	2390
ONT_TR_PE_scaff_080	82	209025	2523
ONT_TR_PE_scaff_082	39	101716	2545
ONT_TR_PE_scaff_083	1261	3269589	2591
ONT_TR_PE_scaff_084	291	757989	2597
ONT_TR_PE_scaff_086	30	79542	2641
ONT_TR_PE_scaff_090	157	436841	2771
ONT_TR_PE_scaff_093	25	74711	2945
ONT_TR_PE_scaff_095	60	183635	3012
ONT_TR_PE_scaff_096	100	303747	3037
ONT_TR_PE_scaff_097	74	225405	3039
ONT_TR_PE_scaff_099	88	270121	3061
ONT_TR_PE_scaff_100	24	74556	3078
ONT_TR_PE_scaff_103	392	1233584	3142
ONT_TR_PE_scaff_104	42	136172	3178
ONT_TR_PE_scaff_105	292	933370	3192
ONT_TR_PE_scaff_106	57	185226	3206
ONT_TR_PE_scaff_109	107	353910	3293
ONT_TR_PE_scaff_113	97	328160	3364
ONT_TR_PE_scaff_114	629	2119882	3370
ONT_TR_PE_scaff_115	70	240118	3427
ONT_TR_PE_scaff_116	260	896453	3443
ONT_TR_PE_scaff_117	779	2705718	3470
