Aphrocallistes_vastus_HiC-scaffold_022	axis	59000	100000	.
Avas.s022.g19.i1	mRNA	55524	59122	-
Avas.s022.g19.i1	exon	59016	59122	-
Avas.s022.g20.i1	mRNA	59424	63351	+
Avas.s022.g20.i1	exon	59424	59464	+
Avas.s022.g20.i1	exon	60981	61228	+
Avas.s022.g20.i1	exon	62564	63351	+
Avas.s022.g21.i1	mRNA	66166	91824	-
Avas.s022.g21.i1	exon	66166	66327	-
Avas.s022.g21.i1	exon	66410	66499	-
Avas.s022.g21.i1	exon	67224	67299	-
Avas.s022.g21.i1	exon	67831	67915	-
Avas.s022.g21.i1	exon	67981	68068	-
Avas.s022.g21.i1	exon	68142	68207	-
Avas.s022.g21.i1	exon	68324	68449	-
Avas.s022.g21.i1	exon	69162	69280	-
Avas.s022.g21.i1	exon	69457	69562	-
Avas.s022.g21.i1	exon	69627	69719	-
Avas.s022.g21.i1	exon	74918	75037	-
Avas.s022.g21.i1	exon	76941	77040	-
Avas.s022.g21.i1	exon	77118	77231	-
Avas.s022.g21.i1	exon	77321	77430	-
Avas.s022.g21.i1	exon	77593	77685	-
Avas.s022.g21.i1	exon	77754	77865	-
Avas.s022.g21.i1	exon	78326	78470	-
Avas.s022.g21.i1	exon	78668	78801	-
Avas.s022.g21.i1	exon	78864	79225	-
Avas.s022.g21.i1	exon	79344	79463	-
Avas.s022.g21.i1	exon	79546	79684	-
Avas.s022.g21.i1	exon	79752	79837	-
Avas.s022.g21.i1	exon	79944	79997	-
Avas.s022.g21.i1	exon	80116	80242	-
Avas.s022.g21.i1	exon	81083	81123	-
Avas.s022.g21.i1	exon	81199	81318	-
Avas.s022.g21.i1	exon	81705	81849	-
Avas.s022.g21.i1	exon	82426	82546	-
Avas.s022.g21.i1	exon	82654	82740	-
Avas.s022.g21.i1	exon	82799	82888	-
Avas.s022.g21.i1	exon	83009	83188	-
Avas.s022.g21.i1	exon	83478	83529	-
Avas.s022.g21.i1	exon	83614	83684	-
Avas.s022.g21.i1	exon	83947	84172	-
Avas.s022.g21.i1	exon	84557	84839	-
Avas.s022.g21.i1	exon	84930	85025	-
Avas.s022.g21.i1	exon	85138	85226	-
Avas.s022.g21.i1	exon	85312	85407	-
Avas.s022.g21.i1	exon	85581	85662	-
Avas.s022.g21.i1	exon	85739	85872	-
Avas.s022.g21.i1	exon	85946	85966	-
Avas.s022.g21.i1	exon	86397	86507	-
Avas.s022.g21.i1	exon	86574	86672	-
Avas.s022.g21.i1	exon	86741	86851	-
Avas.s022.g21.i1	exon	86923	86992	-
Avas.s022.g21.i1	exon	87216	87286	-
Avas.s022.g21.i1	exon	87354	87407	-
Avas.s022.g21.i1	exon	87547	87642	-
Avas.s022.g21.i1	exon	87708	87752	-
Avas.s022.g21.i1	exon	87820	87896	-
Avas.s022.g21.i1	exon	88117	88228	-
Avas.s022.g21.i1	exon	88304	88432	-
Avas.s022.g21.i1	exon	88708	88751	-
Avas.s022.g21.i1	exon	88824	88867	-
Avas.s022.g21.i1	exon	88935	88999	-
Avas.s022.g21.i1	exon	89069	89152	-
Avas.s022.g21.i1	exon	89238	89399	-
Avas.s022.g21.i1	exon	89468	89566	-
Avas.s022.g21.i1	exon	89627	89734	-
Avas.s022.g21.i1	exon	89800	89903	-
Avas.s022.g21.i1	exon	89969	90101	-
Avas.s022.g21.i1	exon	90179	90859	-
Avas.s022.g21.i1	exon	91037	91104	-
Avas.s022.g21.i1	exon	91278	91824	-
Avas.s022.g22.i1	mRNA	70120	73392	+
Avas.s022.g22.i1	exon	70120	73392	+
Avas.s022.g23.i1	mRNA	75307	76389	+
Avas.s022.g23.i1	exon	75307	76389	+
Avas.s022.g24.i1	mRNA	96692	97891	-
Avas.s022.g24.i1	exon	96692	97891	-
Avas.s022.g25.i1	mRNA	98437	100887	-
Avas.s022.g25.i1	exon	98437	100887	-
