Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_009	3	2203	588
ONT_TR_PE_scaff_016	44	14354	322
ONT_TR_PE_scaff_019	2	172	86
ONT_TR_PE_scaff_023	5	1450	276
ONT_TR_PE_scaff_024	1	271	138
ONT_TR_PE_scaff_032	50	69005	1356
ONT_TR_PE_scaff_038	485	603177	1243
ONT_TR_PE_scaff_040	37	14404	388
ONT_TR_PE_scaff_043	27	25924	928
ONT_TR_PE_scaff_045	146	233274	1587
ONT_TR_PE_scaff_046	80	66653	833
ONT_TR_PE_scaff_051	475	689856	1451
ONT_TR_PE_scaff_052	11	5133	434
ONT_TR_PE_scaff_053	5	4146	814
ONT_TR_PE_scaff_059	21	17120	814
ONT_TR_PE_scaff_060	8	3029	361
ONT_TR_PE_scaff_061	432	875957	2027
ONT_TR_PE_scaff_064	234	301931	1287
ONT_TR_PE_scaff_065	5	766	151
ONT_TR_PE_scaff_066	163	219247	1345
ONT_TR_PE_scaff_070	201	390489	1939
ONT_TR_PE_scaff_075	77	118149	1523
ONT_TR_PE_scaff_077	2	827	350
ONT_TR_PE_scaff_078	3	1020	316
ONT_TR_PE_scaff_080	3	484	140
ONT_TR_PE_scaff_082	7	9783	1245
ONT_TR_PE_scaff_083	2909	5411085	1860
ONT_TR_PE_scaff_084	662	1140638	1721
ONT_TR_PE_scaff_086	4	1264	308
ONT_TR_PE_scaff_090	76	94759	1243
ONT_TR_PE_scaff_093	481	1169474	2427
ONT_TR_PE_scaff_095	277	462839	1667
ONT_TR_PE_scaff_096	2	1408	635
ONT_TR_PE_scaff_097	41	38328	915
ONT_TR_PE_scaff_099	23	8000	337
ONT_TR_PE_scaff_100	5	8527	1556
ONT_TR_PE_scaff_104	2	1728	749
ONT_TR_PE_scaff_105	608	1117233	1835
ONT_TR_PE_scaff_106	4	2721	623
ONT_TR_PE_scaff_109	2721	2509248	922
ONT_TR_PE_scaff_113	71	38770	541
ONT_TR_PE_scaff_115	307	323572	1053
ONT_TR_PE_scaff_116	3	686	178
ONT_TR_PE_scaff_117	285	290124	1015
ONT_TR_PE_scaff_121	30	7365	238
ONT_TR_PE_scaff_122	626	1701062	2716
ONT_TR_PE_scaff_123	3	1137	336
ONT_TR_PE_scaff_129	2	784	298
ONT_TR_PE_scaff_133	374	720864	1925
ONT_TR_PE_scaff_139	25	22779	910
ONT_TR_PE_scaff_140	5	6171	1041
ONT_TR_PE_scaff_141	14	26350	1797
ONT_TR_PE_scaff_146	304	175436	577
ONT_TR_PE_scaff_149	2	798	320
ONT_TR_PE_scaff_151	131	331932	2516
ONT_TR_PE_scaff_153	92	465129	5019
ONT_TR_PE_scaff_154	608	1344083	2208
ONT_TR_PE_scaff_157	3	1442	474
ONT_TR_PE_scaff_159	5	884	175
ONT_TR_PE_scaff_160	11	5229	450
ONT_TR_PE_scaff_161	2	6248	2272
ONT_TR_PE_scaff_162	105	317297	3017
ONT_TR_PE_scaff_167	6	17693	2536
ONT_TR_PE_scaff_169	42	108466	2554
ONT_TR_PE_scaff_170	37	68730	1839
ONT_TR_PE_scaff_171	133	225975	1698
ONT_TR_PE_scaff_174	75	332857	4425
ONT_TR_PE_scaff_175	26	134772	5076
ONT_TR_PE_scaff_176	8	10833	1289
ONT_TR_PE_scaff_177	16	26541	1617
ONT_TR_PE_scaff_179	6	8117	1312
ONT_TR_PE_scaff_181	16	78553	4714
ONT_TR_PE_scaff_183	3	575	163
ONT_TR_PE_scaff_184	210	673056	3198
ONT_TR_PE_scaff_185	30	61262	2022
ONT_TR_PE_scaff_186	214	750902	3506
ONT_TR_PE_scaff_187	1363	6046433	4434
ONT_TR_PE_scaff_188	78	245879	3134
ONT_TR_PE_scaff_189	28	124023	4332
ONT_TR_PE_scaff_190	1	300	235
ONT_TR_PE_scaff_191	320	740977	2311
ONT_TR_PE_scaff_193	644	2867733	4449
ONT_TR_PE_scaff_194	109	568583	5174
ONT_TR_PE_scaff_197	10	22457	2056
ONT_TR_PE_scaff_198	2	816	344
ONT_TR_PE_scaff_200	71	156928	2181
ONT_TR_PE_scaff_207	85	313718	3674
ONT_TR_PE_scaff_209	174	1033577	5937
ONT_TR_PE_scaff_210	27	163441	6021
ONT_TR_PE_scaff_211	1430	7845857	5483
ONT_TR_PE_scaff_214	8	30589	3706
ONT_TR_PE_scaff_217	166	445206	2673
ONT_TR_PE_scaff_219	6	3949	614
ONT_TR_PE_scaff_221	150	1013415	6735
ONT_TR_PE_scaff_222	7	10164	1348
ONT_TR_PE_scaff_223	3	2164	608
ONT_TR_PE_scaff_225	4	2670	607
ONT_TR_PE_scaff_228	34	93974	2691
ONT_TR_PE_scaff_229	178	973888	5457
ONT_TR_PE_scaff_230	12	43855	3624
ONT_TR_PE_scaff_232	17	92745	5249
ONT_TR_PE_scaff_233	10	16735	1651
ONT_TR_PE_scaff_234	97	446537	4557
ONT_TR_PE_scaff_239	13	82631	6209
ONT_TR_PE_scaff_240	35	109526	3082
ONT_TR_PE_scaff_249	130	843939	6489
ONT_TR_PE_scaff_252	7	9864	1345
ONT_TR_PE_scaff_253	8	70450	7834
ONT_TR_PE_scaff_257	1962	7998005	4075
ONT_TR_PE_scaff_258	161	286307	1775
ONT_TR_PE_scaff_259	33	23808	703
ONT_TR_PE_scaff_260	7	21360	3016
ONT_TR_PE_scaff_261	14	15635	1104
ONT_TR_PE_scaff_264	209	558385	2666
ONT_TR_PE_scaff_265	23	15199	650
ONT_TR_PE_scaff_266	486	4183866	8598
ONT_TR_PE_scaff_269	29	288006	9727
ONT_TR_PE_scaff_271	224	1445943	6443
ONT_TR_PE_scaff_278	23	39377	1647
ONT_TR_PE_scaff_280	282	2803001	9929
ONT_TR_PE_scaff_282	18	64665	3441
ONT_TR_PE_scaff_284	53	100890	1902
ONT_TR_PE_scaff_285	93	727390	7787
ONT_TR_PE_scaff_287	589	4931482	8366
ONT_TR_PE_scaff_289	13	68110	5226
ONT_TR_PE_scaff_290	51	438445	8460
ONT_TR_PE_scaff_293	8	29160	3302
ONT_TR_PE_scaff_300	2	1953	822
ONT_TR_PE_scaff_301	133	1392232	10417
ONT_TR_PE_scaff_302	26	120071	4569
ONT_TR_PE_scaff_304	0	784	5297
ONT_TR_PE_scaff_305	17	8965	521
ONT_TR_PE_scaff_306	7	8367	1185
