"transcript","L1"
"Avas.s001.g1051.i1","orphan_paralogs"
"Avas.s001.g106.i1","orphan_paralogs"
"Avas.s001.g1065.i1","orphan_paralogs"
"Avas.s001.g1066.i1","orphan_paralogs"
"Avas.s001.g107.i1","orphan_paralogs"
"Avas.s001.g108.i1","orphan_paralogs"
"Avas.s001.g1085.i1","orphan_paralogs"
"Avas.s001.g1102.i1","orphan_paralogs"
"Avas.s001.g1141.i1","orphan_paralogs"
"Avas.s001.g1155.i1","orphan_paralogs"
"Avas.s001.g1166.i1","orphan_paralogs"
"Avas.s001.g1190.i1","orphan_paralogs"
"Avas.s001.g1193.i1","orphan_paralogs"
"Avas.s001.g1214.i1","orphan_paralogs"
"Avas.s001.g1257.i1","orphan_paralogs"
"Avas.s001.g1292.i1","orphan_paralogs"
"Avas.s001.g1293.i1","orphan_paralogs"
"Avas.s001.g1304.i1","orphan_paralogs"
"Avas.s001.g1325.i1","orphan_paralogs"
"Avas.s001.g133.i1","orphan_paralogs"
"Avas.s001.g1345.i1","orphan_paralogs"
"Avas.s001.g138.i1","orphan_paralogs"
"Avas.s001.g1391.i1","orphan_paralogs"
"Avas.s001.g1418.i1","orphan_paralogs"
"Avas.s001.g1444.i1","orphan_paralogs"
"Avas.s001.g1468.i1","orphan_paralogs"
"Avas.s001.g1473.i1","orphan_paralogs"
"Avas.s001.g1475.i1","orphan_paralogs"
"Avas.s001.g1481.i1","orphan_paralogs"
"Avas.s001.g1503.i1","orphan_paralogs"
"Avas.s001.g1524.i1","orphan_paralogs"
"Avas.s001.g1527.i1","orphan_paralogs"
"Avas.s001.g1528.i1","orphan_paralogs"
"Avas.s001.g1539.i1","orphan_paralogs"
"Avas.s001.g1542.i1","orphan_paralogs"
"Avas.s001.g1549.i1","orphan_paralogs"
"Avas.s001.g1600.i1","orphan_paralogs"
"Avas.s001.g1614.i1","orphan_paralogs"
"Avas.s001.g1617.i1","orphan_paralogs"
"Avas.s001.g1620.i1","orphan_paralogs"
"Avas.s001.g1650.i1","orphan_paralogs"
"Avas.s001.g1688.i1","orphan_paralogs"
"Avas.s001.g1702.i1","orphan_paralogs"
"Avas.s001.g1716.i1","orphan_paralogs"
"Avas.s001.g1717.i1","orphan_paralogs"
"Avas.s001.g1718.i1","orphan_paralogs"
"Avas.s001.g173.i1","orphan_paralogs"
"Avas.s001.g174.i1","orphan_paralogs"
"Avas.s001.g1740.i1","orphan_paralogs"
"Avas.s001.g176.i1","orphan_paralogs"
"Avas.s001.g177.i1","orphan_paralogs"
"Avas.s001.g178.i1","orphan_paralogs"
"Avas.s001.g179.i1","orphan_paralogs"
"Avas.s001.g1811.i1","orphan_paralogs"
"Avas.s001.g1812.i1","orphan_paralogs"
"Avas.s001.g184.i1","orphan_paralogs"
"Avas.s001.g1841.i1","orphan_paralogs"
