Name_of_contig	scaffold_length	ONT_DNA_minimap2	PE_DNA_bowtie2	PE_RNA_hisat2	ONT_RNA_gmap	ONT_RNA_minimap2	GC_percentage
ONT_TR_PE_scaff_002	485	2856	0	0	7	79	2.1	
ONT_TR_PE_scaff_003	597	39	10	0	0	0	29.5	
ONT_TR_PE_scaff_008	791	23	13	0	0	0	34.0	
ONT_TR_PE_scaff_009	840	108	124	3	2	2	34.2	
ONT_TR_PE_scaff_011	933	2	0	0	0	0	38.5	
ONT_TR_PE_scaff_016	1072	176	147	13	0	0	38.4	
ONT_TR_PE_scaff_019	1141	13	2	0	0	0	27.7	
ONT_TR_PE_scaff_023	1211	36	93	1	0	0	36.0	
ONT_TR_PE_scaff_024	1240	71	74	0	0	0	29.4	
ONT_TR_PE_scaff_026	1270	122	121	0	1	0	28.9	
ONT_TR_PE_scaff_032	1356	29	21	51	0	0	37.5	
ONT_TR_PE_scaff_034	1371	116	104	0	2	0	41.3	
ONT_TR_PE_scaff_037	1438	292	235	0	437	0	41.0	
ONT_TR_PE_scaff_038	1440	114	66	419	2	2	44.2	
ONT_TR_PE_scaff_039	1446	87	86	0	1	0	37.3	
ONT_TR_PE_scaff_040	1448	424	443	10	3	1	39.1	
ONT_TR_PE_scaff_041	1471	51	48	0	0	0	37.4	
ONT_TR_PE_scaff_043	1533	43	47	17	2	2	34.6	
ONT_TR_PE_scaff_045	1613	47	25	145	3	4	39.2	
ONT_TR_PE_scaff_046	1614	182	154	41	9	5	40.5	
ONT_TR_PE_scaff_050	1685	309	403	0	18	0	38.6	
ONT_TR_PE_scaff_051	1717	46	65	402	38	41	34.3	
ONT_TR_PE_scaff_052	1721	113	107	3	12	4	30.2	
ONT_TR_PE_scaff_053	1724	71	60	2	0	0	33.3	
ONT_TR_PE_scaff_054	1826	170	448	0	0	0	33.0	
ONT_TR_PE_scaff_059	1955	114	99	9	6	0	36.2	
ONT_TR_PE_scaff_060	2007	18	24	2	8	0	34.9	
ONT_TR_PE_scaff_061	2027	198	167	432	14	13	38.6	
ONT_TR_PE_scaff_062	2093	59	76	0	4	0	33.5	
ONT_TR_PE_scaff_064	2162	51	137	140	8	13	45.0	
ONT_TR_PE_scaff_065	2186	102	150	0	8	0	35.4	
ONT_TR_PE_scaff_066	2200	53	49	100	3	4	33.1	
ONT_TR_PE_scaff_070	2226	10	22	175	17	16	39.0	
ONT_TR_PE_scaff_075	2322	37	51	51	0	0	38.4	
ONT_TR_PE_scaff_077	2358	84	74	0	0	1	36.5	
ONT_TR_PE_scaff_078	2390	255	231	0	0	0	35.8	
ONT_TR_PE_scaff_080	2523	83	72	0	0	0	34.2	
