gene_id	Aphrocallistes_vastus	Oopsacas_minuta	Hyalonema_populiferum	Rosella_fibulata	Sympagella_nux	Euplectella_aspergillum	Amphidiscella_abyssalis	Aulocalyx_serialis	Bolosoma_cyanae	Caulophacus_discohexaster	Chaunoplectella_sp	Corbitella_sp	Eurete_sp	Farrea_occa	Farrea_similaris	Lanuginellinae_sp	Regadrella_okinoseana	Saccocalyx_tetractinus	Trychella_sp	Walteria_leuckarti	Amphimedon_queenslandica	Ephydatia_muelleri
5951at33208	1	1	0.01	1	1	0.01	0.01	100	1	1	1	0.01	1	1	0.01	1	1	1	1	1	1	1
9639at33208	1	1	0.01	100	100	0.01	0.01	1	100	1	0.01	0.01	1	1	0.01	1	1	1	1	0.01	1	100
13816at33208	1	1	0	0.01	0.01	0.01	0.01	1	1	0.01	0.01	0.01	1	1	0	1	1	0.01	0.01	0.01	1	1
14776at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	100
16244at33208	1	1	0	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	1	1	0	0.01	1	0	1	0.01	1	1
40200at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
45934at33208	1	1	0	100	0.01	0	0.01	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	0.01	1	1
49474at33208	1	1	0	1	1	0.01	0.01	1	1	1	1	0.01	1	1	0.01	0.01	1	0.01	1	1	1	1
50756at33208	1	1	0	0	1	0	0.01	1	1	1	1	0	0.01	1	0	1	1	0	1	0	1	1
56573at33208	1	1	0	1	0.01	0	0.01	1	1	1	1	0	1	1	0	1	1	0.01	1	0.01	1	0.01
57158at33208	1	1	1	0.01	1	0.01	0	0.01	0.01	1	1	0	1	1	0	1	1	0.01	1	0.01	1	100
63697at33208	1	0.01	0.01	1	1	0.01	0.01	0.01	1	1	1	0.01	0.01	1	0.01	1	1	1	0.01	0.01	1	100
64435at33208	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	1	100
65302at33208	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
66018at33208	1	1	0.01	0	0.01	0	0.01	1	0.01	0.01	1	0.01	1	0.01	0	0.01	1	0.01	1	0.01	1	1
75406at33208	1	1	0	1	1	0	0	1	100	1	1	0.01	1	1	0.01	1	1	1	1	1	1	1
76852at33208	1	1	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0	1	1	0	1	1	0	0.01	0	1	100
84980at33208	1	1	0.01	100	1	0	0.01	1	1	1	1	0	1	1	0	1	1	0.01	1	0.01	1	0
88053at33208	1	1	0	1	1	0.01	0.01	1	0.01	1	1	0.01	1	1	0	0.01	1	0.01	1	1	1	1
92367at33208	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1
99614at33208	1	1	0	1	100	0	0.01	1	1	100	1	0	1	1	0.01	1	1	1	100	1	1	1
99987at33208	1	0.01	0	0	1	0	0.01	0.01	1	0	1	0	0.01	1	0	1	1	1	0.01	0.01	1	1
102804at33208	1	0.01	0.01	0	100	0	0.01	1	1	1	0.01	0.01	100	1	0.01	1	1	0.01	1	0.01	1	1
103854at33208	1	1	0	1	0.01	0	0.01	1	1	1	0.01	0	1	1	0	1	1	0.01	1	1	1	1
107151at33208	1	1	0	1	1	0	0.01	1	0.01	1	1	0	1	100	0	1	1	0.01	1	0.01	1	1
107574at33208	1	1	0.01	0	0	0	0.01	1	1	1	1	0	1	1	0	1	1	0.01	1	1	1	1
