# BUSCO version is: 5.4.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208	Complete	jg17281.t1	4033.0	1999
9639at33208	Complete	jg7899.t1	2166.1	1779
13816at33208	Complete	jg3592.t1	365.5	866
14776at33208	Missing
16244at33208	Complete	jg19121.t1	2488.3	1728
40200at33208	Missing
45934at33208	Complete	jg2633.t1	785.5	842
49474at33208	Complete	jg11596.t1	887.9	1168
50756at33208	Fragmented	jg13274.t1	225.2	548
56573at33208	Complete	jg13437.t1	1077.0	918
57158at33208	Complete	jg9169.t1	1705.3	1042
63697at33208	Complete	jg16610.t1	1781.5	964
64435at33208	Missing
65302at33208	Complete	jg9439.t1	723.1	975
66018at33208	Complete	jg6057.t3	1442.9	865
75406at33208	Complete	jg6949.t1	295.6	303
76852at33208	Complete	jg6997.t1	440.8	808
84980at33208	Complete	jg8396.t2	740.3	586
88053at33208	Complete	jg7865.t1	418.0	512
92367at33208	Complete	jg10785.t1	256.1	472
99614at33208	Complete	jg7488.t1	1291.7	945
99987at33208	Missing
102804at33208	Complete	jg19045.t1	709.5	534
103854at33208	Complete	jg4137.t2	557.1	634
107151at33208	Complete	jg17297.t1	1164.2	782
107574at33208	Complete	jg18067.t1	181.0	521
108764at33208	Missing
109109at33208	Complete	jg1606.t1	868.9	563
111730at33208	Missing
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	jg17951.t1	386.7	275
118209at33208	Complete	jg5036.t1	205.0	530
119252at33208	Complete	jg17775.t1	725.9	548
119591at33208	Complete	jg8717.t1	1237.2	982
121127at33208	Missing
123923at33208	Complete	jg8480.t1	83.1	455
124302at33208	Complete	jg4368.t1	530.9	712
127766at33208	Complete	jg14510.t1	361.2	610
129179at33208	Complete	jg15787.t1	820.5	576
130245at33208	Complete	jg9081.t1	313.7	411
130256at33208	Complete	jg5658.t1	592.8	559
131349at33208	Complete	jg8391.t1	1255.6	897
131848at33208	Complete	jg16358.t2	595.7	533
132087at33208	Complete	jg6816.t1	282.6	310
134492at33208	Complete	jg16697.t1	769.4	865
135294at33208	Complete	jg7005.t1	618.3	512
137383at33208	Complete	jg7453.t1	704.6	625
139188at33208	Complete	jg15015.t1	395.6	615
143619at33208	Complete	jg1622.t1	227.3	288
143997at33208	Complete	jg16294.t1	395.2	388
146671at33208	Complete	jg5850.t1	708.7	619
147873at33208	Complete	jg13468.t1	808.3	565
148067at33208	Complete	jg5192.t1	538.8	821
148325at33208	Complete	jg13730.t1	307.7	298
152327at33208	Complete	jg1492.t1	365.9	333
152977at33208	Complete	jg2209.t1	313.3	448
153034at33208	Complete	jg2062.t1	560.0	495
157109at33208	Complete	jg17303.t1	190.3	202
157138at33208	Missing
158845at33208	Complete	jg4469.t1	333.9	445
158962at33208	Complete	jg18635.t1	696.4	573
162821at33208	Complete	jg4711.t1	538.8	409
