supercont1.15	axis	1406000	1446000	True
EGD74731	gene	1406493	1406816	-
EGD74732	gene	1406967	1408776	-
EGD74733	gene	1410664	1416956	+
EGD74734	gene	1417475	1424751	-
EGD74735	gene	1425822	1426817	+
EGD74736	gene	1426838	1429907	+
EGD74737	gene	1430639	1435782	-
EGD74738	gene	1435818	1442301	+
EGD74739	gene	1442435	1445906	-
