Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_003	8	2488	304
ONT_TR_PE_scaff_008	13	10661	790
ONT_TR_PE_scaff_009	120	100975	840
ONT_TR_PE_scaff_016	156	167561	1072
ONT_TR_PE_scaff_019	1	457	372
ONT_TR_PE_scaff_023	70	82633	1171
ONT_TR_PE_scaff_024	76	94938	1240
ONT_TR_PE_scaff_026	113	144519	1270
ONT_TR_PE_scaff_032	20	27898	1356
ONT_TR_PE_scaff_034	101	139793	1371
ONT_TR_PE_scaff_037	237	342230	1438
ONT_TR_PE_scaff_038	66	95313	1440
ONT_TR_PE_scaff_039	89	129844	1446
ONT_TR_PE_scaff_040	292	422884	1448
ONT_TR_PE_scaff_041	47	70406	1471
ONT_TR_PE_scaff_043	48	74711	1533
ONT_TR_PE_scaff_045	24	39364	1613
ONT_TR_PE_scaff_046	118	190662	1611
ONT_TR_PE_scaff_050	309	521259	1685
ONT_TR_PE_scaff_051	62	107612	1717
ONT_TR_PE_scaff_052	107	184266	1721
ONT_TR_PE_scaff_053	57	95709	1667
ONT_TR_PE_scaff_054	16	16122	980
ONT_TR_PE_scaff_059	100	196313	1955
ONT_TR_PE_scaff_060	21	43884	2007
ONT_TR_PE_scaff_061	157	319428	2027
ONT_TR_PE_scaff_062	74	155359	2093
ONT_TR_PE_scaff_064	182	308161	1685
ONT_TR_PE_scaff_065	73	161197	2185
ONT_TR_PE_scaff_066	50	110823	2200
ONT_TR_PE_scaff_070	21	48109	2208
ONT_TR_PE_scaff_075	51	120586	2322
ONT_TR_PE_scaff_077	74	176232	2358
ONT_TR_PE_scaff_078	235	563040	2386
ONT_TR_PE_scaff_080	73	185333	2522
ONT_TR_PE_scaff_082	28	72170	2545
ONT_TR_PE_scaff_083	384	997066	2591
ONT_TR_PE_scaff_084	144	376435	2597
ONT_TR_PE_scaff_086	25	67944	2641
ONT_TR_PE_scaff_090	120	281510	2335
ONT_TR_PE_scaff_093	20	60217	2945
ONT_TR_PE_scaff_095	25	77249	3012
ONT_TR_PE_scaff_096	98	298635	3037
ONT_TR_PE_scaff_097	81	246247	3039
ONT_TR_PE_scaff_099	84	257212	3052
ONT_TR_PE_scaff_100	32	99748	3078
ONT_TR_PE_scaff_103	247	763329	3089
ONT_TR_PE_scaff_104	60	193405	3178
ONT_TR_PE_scaff_105	151	482913	3190
ONT_TR_PE_scaff_106	55	160996	2892
ONT_TR_PE_scaff_109	73	243617	3293
ONT_TR_PE_scaff_113	85	285321	3356
ONT_TR_PE_scaff_114	421	1421756	3370
ONT_TR_PE_scaff_115	81	280506	3426
ONT_TR_PE_scaff_116	149	515531	3443
ONT_TR_PE_scaff_117	357	1223164	3420
ONT_TR_PE_scaff_119	64	232102	3597
ONT_TR_PE_scaff_121	32	117108	3608
ONT_TR_PE_scaff_122	64	236238	3684
ONT_TR_PE_scaff_123	65	242354	3690
ONT_TR_PE_scaff_129	140	576184	4101
ONT_TR_PE_scaff_133	24	103626	4233
ONT_TR_PE_scaff_139	47	197903	4201
ONT_TR_PE_scaff_140	67	303967	4482
ONT_TR_PE_scaff_141	36	164466	4530
ONT_TR_PE_scaff_146	153	725928	4737
ONT_TR_PE_scaff_149	27	134590	4858
ONT_TR_PE_scaff_151	26	128156	4901
ONT_TR_PE_scaff_153	82	411702	5019
ONT_TR_PE_scaff_154	49	250525	5046
ONT_TR_PE_scaff_157	31	165410	5179
ONT_TR_PE_scaff_159	115	591442	5123
ONT_TR_PE_scaff_160	74	389831	5211
ONT_TR_PE_scaff_161	90	473042	5219
ONT_TR_PE_scaff_162	52	277201	5235
ONT_TR_PE_scaff_163	43	225315	5192
ONT_TR_PE_scaff_166	157	775168	4912
ONT_TR_PE_scaff_167	22	123085	5376
ONT_TR_PE_scaff_169	31	169119	5413
ONT_TR_PE_scaff_170	58	316871	5435
ONT_TR_PE_scaff_171	74	406592	5477
ONT_TR_PE_scaff_172	48	268720	5497
ONT_TR_PE_scaff_174	80	415013	5185
ONT_TR_PE_scaff_175	30	171578	5625
ONT_TR_PE_scaff_176	46	257530	5523
ONT_TR_PE_scaff_177	122	691073	5664
ONT_TR_PE_scaff_179	31	182348	5772
ONT_TR_PE_scaff_181	85	502018	5849
ONT_TR_PE_scaff_183	27	160904	5774
ONT_TR_PE_scaff_184	25	151152	5914
ONT_TR_PE_scaff_185	26	161213	5972
ONT_TR_PE_scaff_186	36	218879	5977
ONT_TR_PE_scaff_187	28	169553	5964
ONT_TR_PE_scaff_188	27	162845	5998
ONT_TR_PE_scaff_189	30	183202	5949
ONT_TR_PE_scaff_190	26	162764	6074
ONT_TR_PE_scaff_191	37	230597	6103
ONT_TR_PE_scaff_192	38	208294	5420
ONT_TR_PE_scaff_193	62	382196	6156
ONT_TR_PE_scaff_194	53	332862	6203
ONT_TR_PE_scaff_197	23	144956	6081
ONT_TR_PE_scaff_198	53	318316	6004
ONT_TR_PE_scaff_200	57	363027	6341
ONT_TR_PE_scaff_201	22	143964	6396
ONT_TR_PE_scaff_207	48	323539	6739
ONT_TR_PE_scaff_209	25	176236	6807
ONT_TR_PE_scaff_210	56	381426	6810
ONT_TR_PE_scaff_211	38	261076	6783
ONT_TR_PE_scaff_214	58	403566	6896
ONT_TR_PE_scaff_216	15	104897	6980
ONT_TR_PE_scaff_217	59	409294	6842
ONT_TR_PE_scaff_219	73	503363	6866
ONT_TR_PE_scaff_221	53	375309	7058
ONT_TR_PE_scaff_222	25	178027	7107
ONT_TR_PE_scaff_223	51	337619	6581
ONT_TR_PE_scaff_225	31	226295	7287
ONT_TR_PE_scaff_228	41	314548	7536
ONT_TR_PE_scaff_229	55	421137	7563
ONT_TR_PE_scaff_230	30	227749	7550
ONT_TR_PE_scaff_231	35	270295	7647
ONT_TR_PE_scaff_232	46	366330	7820
ONT_TR_PE_scaff_233	55	436808	7919
ONT_TR_PE_scaff_234	78	622194	7932
ONT_TR_PE_scaff_238	25	175540	6811
ONT_TR_PE_scaff_239	173	991230	5716
ONT_TR_PE_scaff_240	55	450926	8121
ONT_TR_PE_scaff_248	48	414676	8517
ONT_TR_PE_scaff_249	31	274533	8633
ONT_TR_PE_scaff_252	26	230376	8709
ONT_TR_PE_scaff_253	83	715855	8564
ONT_TR_PE_scaff_256	37	322591	8525
ONT_TR_PE_scaff_257	50	454121	9025
ONT_TR_PE_scaff_258	72	657591	9046
ONT_TR_PE_scaff_259	51	468231	9131
ONT_TR_PE_scaff_260	57	535223	9263
