"transcript","L1"
"Avas.s014.g603.i1","paralog_cluster_00272"
"Avas.s001.g1503.i1","paralog_cluster_00630"
"Avas.s023.g64.i1","paralog_cluster_01939"
"Avas.s001.g1418.i1","paralog_cluster_02141"
"Avas.s008.g622.i1","paralog_cluster_02141"
"Avas.s003.g357.i1","paralog_cluster_02498"
"Avas.s002.g28.i1","paralog_cluster_03158"
"Avas.s019.g279.i1","paralog_cluster_04256"
"Avas.s011.g704.i1","paralog_cluster_05048"
"Avas.s019.g227.i1","paralog_cluster_06330"
"Avas.s022.g229.i1","paralog_cluster_06344"
"Avas.s020.g21.i1","paralog_cluster_07362"
