# Getting manual annotations from -m
# Reading GFF file manually_edited_genes_revised.gff
# File contained:
#exon	1397
#CDS	1181
#mRNA	270
#gene	224
#rRNA	22
#transcript	3
# Collected exons for 295 transcripts
# Getting main gene annotation from -g
# Reading GFF file BRAKER2_ONT-RNA.revised.sort.gff3
ERROR: identical bounds of subfeature exon within brakerONT.m1-g9644.t1, 4408681 4409142 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g10211.t1, 6262816 6263874 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g10310.t1, 6585268 6586629 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g10384.t1, 6816411 6816824 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g10457.t1, 7081544 7082272 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g10561.t1, 7702473 7703132 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g10586.t1, 7768721 7769350 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11896.t1, 381799 382176 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11915.t1, 460689 461027 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11946.t1, 557938 558789 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12166.t1, 1315057 1316193 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12303.t1, 1969977 1970300 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12444.t1, 2644422 2644752 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12444.t1, 2647189 2647241 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g12625.t1, 3569752 3570072 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11070.t1, 911835 912740 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11200.t1, 1256605 1257144 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11440.t1, 2388363 2388713 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11491.t1, 2824529 2824768 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11492.t1, 2825565 2826380 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11493.t1, 2828550 2828981 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11494.t1, 2832020 2832310 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11620.t1, 3858925 3860064 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11706.t1, 4139406 4139741 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11707.t1, 4143080 4143460 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g11709.t1, 4148210 4148635 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g7610.t1, 364663 365253 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g7611.t1, 366287 366928 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g7612.t1, 367524 368105 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g7619.t1, 381642 382739 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g7620.t1, 391899 393014 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17661.t1, 1239404 1240504 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17711.t1, 1376383 1376997 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17712.t1, 1379103 1379819 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17713.t1, 1382016 1382438 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17785.t1, 1527755 1532215 , check GFF
ERROR: identical bounds of subfeature exon within brakerONT.m1-g17787.t1, 1538711 1539145 , check GFF
