"transcript","L1"
"Avas.s001.g505.i1","paralog_cluster_00005"
"Avas.s001.g748.i1","paralog_cluster_00005"
"Avas.s004.g905.i1","paralog_cluster_00005"
"Avas.s004.g907.i1","paralog_cluster_00005"
"Avas.s004.g982.i1","paralog_cluster_00005"
"Avas.s004.g985.i1","paralog_cluster_00005"
"Avas.s010.g327.i1","paralog_cluster_00005"
"Avas.s020.g46.i1","paralog_cluster_00005"
"Avas.s045.g1.i1","paralog_cluster_00005"
"Avas.s001.g174.i1","paralog_cluster_00043"
"Avas.s002.g1029.i1","paralog_cluster_00043"
"Avas.s002.g566.i1","paralog_cluster_00043"
"Avas.s005.g15.i1","paralog_cluster_00043"
"Avas.s006.g533.i1","paralog_cluster_00043"
"Avas.s023.g273.i1","paralog_cluster_00043"
"Avas.s033.g1.i1","paralog_cluster_00043"
"Avas.s042.g7.i1","paralog_cluster_00043"
"Avas.s003.g518.i1","paralog_cluster_00044"
"Avas.s004.g775.i1","paralog_cluster_00074"
"Avas.s015.g194.i1","paralog_cluster_00074"
"Avas.s002.g89.i1","paralog_cluster_00076"
"Avas.s010.g531.i1","paralog_cluster_00076"
"Avas.s010.g690.i1","paralog_cluster_00076"
"Avas.s010.g720.i1","paralog_cluster_00076"
"Avas.s010.g728.i1","paralog_cluster_00076"
"Avas.s010.g730.i1","paralog_cluster_00076"
"Avas.s002.g378.i1","paralog_cluster_00081"
"Avas.s011.g416.i1","paralog_cluster_00081"
"Avas.s013.g121.i1","paralog_cluster_00081"
"Avas.s015.g197.i1","paralog_cluster_00081"
"Avas.s015.g414.i1","paralog_cluster_00081"
"Avas.s001.g287.i1","paralog_cluster_00084"
"Avas.s001.g318.i1","paralog_cluster_00084"
"Avas.s006.g407.i1","paralog_cluster_00099"
"Avas.s001.g1542.i1","paralog_cluster_00111"
"Avas.s004.g278.i1","paralog_cluster_00122"
"Avas.s003.g275.i1","paralog_cluster_00127"
"Avas.s003.g285.i1","paralog_cluster_00127"
"Avas.s003.g287.i1","paralog_cluster_00127"
"Avas.s003.g291.i1","paralog_cluster_00127"
"Avas.s022.g383.i1","paralog_cluster_00138"
"Avas.s022.g390.i1","paralog_cluster_00138"
"Avas.s022.g411.i1","paralog_cluster_00138"
"Avas.s022.g421.i1","paralog_cluster_00138"
"Avas.s050.g10.i1","paralog_cluster_00138"
"Avas.s132.g1.i1","paralog_cluster_00138"
"Avas.s015.g202.i1","paralog_cluster_00205"
"Avas.s004.g989.i1","paralog_cluster_00219"
"Avas.s004.g713.i1","paralog_cluster_00223"
"Avas.s007.g733.i1","paralog_cluster_00223"
"Avas.s016.g370.i1","paralog_cluster_00224"
"Avas.s004.g12.i1","paralog_cluster_00257"
"Avas.s015.g479.i1","paralog_cluster_00258"
"Avas.s001.g956.i1","paralog_cluster_00277"
"Avas.s006.g968.i1","paralog_cluster_00277"
"Avas.s009.g574.i1","paralog_cluster_00278"
"Avas.s009.g581.i1","paralog_cluster_00278"
"Avas.s009.g600.i1","paralog_cluster_00278"
"Avas.s015.g403.i1","paralog_cluster_00278"
"Avas.s007.g677.i1","paralog_cluster_00286"
"Avas.s007.g732.i1","paralog_cluster_00286"
"Avas.s169.g1.i1","paralog_cluster_00286"
"Avas.s001.g176.i1","paralog_cluster_00315"
"Avas.s001.g178.i1","paralog_cluster_00315"
"Avas.s001.g186.i1","paralog_cluster_00315"
"Avas.s022.g363.i1","paralog_cluster_00326"
"Avas.s022.g364.i1","paralog_cluster_00326"
"Avas.s022.g391.i1","paralog_cluster_00326"
"Avas.s022.g393.i1","paralog_cluster_00326"
"Avas.s022.g405.i1","paralog_cluster_00326"
"Avas.s022.g416.i1","paralog_cluster_00326"
"Avas.s022.g419.i1","paralog_cluster_00326"
"Avas.s001.g759.i1","paralog_cluster_00340"
"Avas.s002.g31.i1","paralog_cluster_00340"
"Avas.s002.g34.i1","paralog_cluster_00340"
"Avas.s010.g20.i1","paralog_cluster_00340"
"Avas.s010.g57.i1","paralog_cluster_00340"
"Avas.s010.g58.i1","paralog_cluster_00340"
"Avas.s010.g65.i1","paralog_cluster_00340"
"Avas.s010.g67.i1","paralog_cluster_00340"
"Avas.s005.g742.i1","paralog_cluster_00464"
"Avas.s005.g865.i1","paralog_cluster_00497"
