# BUSCO version is: 5.4.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208	Missing
9639at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.10406.1.p1	1086.0	897
13816at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.425.1.p1	365.5	866
14776at33208	Missing
16244at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.18677.1.p1	1997.2	1088
40200at33208	Missing
45934at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.11514.1.p1	785.9	842
49474at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.12874.1.p1	354.8	452
50756at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.11238.1.p1	757.0	863
56573at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.10829.1.p1	1077.0	918
57158at33208	Fragmented	STRG_ONT-RNA_minimap2_transcripts.8873.1.p1	571.0	423
63697at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.7724.1.p1	1781.5	964
64435at33208	Missing
65302at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.9061.1.p1	723.1	975
66018at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.17291.1.p1	1442.9	865
75406at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.15534.1.p1	476.5	616
76852at33208	Missing
84980at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.12054.1.p1	740.3	586
88053at33208	Duplicated	STRG_ONT-RNA_minimap2_transcripts.10353.1.p1	418.0	512
88053at33208	Duplicated	STRG_ONT-RNA_minimap2_transcripts.10353.3.p1	417.9	512
92367at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.2884.1.p1	256.1	472
99614at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.17554.1.p1	1291.7	945
99987at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.18070.1.p1	431.1	576
102804at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.18089.1.p1	1039.2	892
103854at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.971.1.p1	557.1	634
107151at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.4161.1.p1	1164.2	782
107574at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.6395.1.p1	181.0	521
108764at33208	Missing
109109at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.7996.1.p1	868.9	563
111730at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.18361.1.p1	333.3	666
111746at33208	Missing
114954at33208	Missing
115878at33208	Duplicated	STRG_ONT-RNA_minimap2_transcripts.5307.1.p1	440.7	411
115878at33208	Duplicated	STRG_ONT-RNA_minimap2_transcripts.5307.3.p1	399.3	299
118209at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.14737.1.p1	1452.9	849
119252at33208	Duplicated	STRG_ONT-RNA_minimap2_transcripts.5454.1.p2	725.9	548
119252at33208	Duplicated	STRG_ONT-RNA_minimap2_transcripts.5454.2.p1	725.9	548
119591at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.7200.1.p1	1238.9	982
121127at33208	Missing
123923at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.12148.1.p1	83.1	455
124302at33208	Complete	STRG_ONT-RNA_minimap2_transcripts.1212.1.p1	530.9	712
