Name_of_contig	Average_coverage	Sum_of_coverages	Number_of_bases
ONT_TR_PE_scaff_002	6	3262	470
ONT_TR_PE_scaff_003	1	48	48
ONT_TR_PE_scaff_009	2	1303	639
ONT_TR_PE_scaff_024	0	388	438
ONT_TR_PE_scaff_026	2	1252	556
ONT_TR_PE_scaff_034	1	2222	1171
ONT_TR_PE_scaff_037	458	628271	1370
ONT_TR_PE_scaff_038	2	2841	1399
ONT_TR_PE_scaff_039	1	1253	946
ONT_TR_PE_scaff_040	4	4387	991
ONT_TR_PE_scaff_043	3	3688	1129
ONT_TR_PE_scaff_045	3	4136	1245
ONT_TR_PE_scaff_046	9	13990	1533
ONT_TR_PE_scaff_050	18	31157	1665
ONT_TR_PE_scaff_051	52	64934	1235
ONT_TR_PE_scaff_052	13	20591	1528
ONT_TR_PE_scaff_059	14	11933	831
ONT_TR_PE_scaff_060	12	16086	1307
ONT_TR_PE_scaff_061	16	27880	1707
ONT_TR_PE_scaff_062	9	8518	857
ONT_TR_PE_scaff_064	9	17499	1806
ONT_TR_PE_scaff_065	12	17755	1371
ONT_TR_PE_scaff_066	7	7625	970
ONT_TR_PE_scaff_070	30	37372	1239
ONT_TR_PE_scaff_077	2	236	117
ONT_TR_PE_scaff_078	0	424	449
ONT_TR_PE_scaff_080	0	959	972
ONT_TR_PE_scaff_082	1	65	65
ONT_TR_PE_scaff_083	717	1239068	1727
ONT_TR_PE_scaff_084	31	82217	2597
ONT_TR_PE_scaff_090	1	3245	1853
ONT_TR_PE_scaff_093	9	15138	1519
ONT_TR_PE_scaff_095	18	50609	2719
ONT_TR_PE_scaff_096	1	187	187
ONT_TR_PE_scaff_097	1	1134	689
ONT_TR_PE_scaff_099	19	40033	2024
ONT_TR_PE_scaff_100	1	281	281
ONT_TR_PE_scaff_103	12	33431	2615
ONT_TR_PE_scaff_105	98	275057	2783
ONT_TR_PE_scaff_106	0	601	612
ONT_TR_PE_scaff_109	48	43790	895
ONT_TR_PE_scaff_113	4	9098	1952
ONT_TR_PE_scaff_114	54	164326	3030
ONT_TR_PE_scaff_115	3	5072	1331
ONT_TR_PE_scaff_116	50	94623	1878
ONT_TR_PE_scaff_117	11	38611	3248
ONT_TR_PE_scaff_121	1	725	605
ONT_TR_PE_scaff_122	49	123077	2483
ONT_TR_PE_scaff_123	10	18164	1748
ONT_TR_PE_scaff_129	6	4663	716
ONT_TR_PE_scaff_133	10	1793	169
ONT_TR_PE_scaff_139	21	49984	2286
ONT_TR_PE_scaff_141	7	20124	2802
ONT_TR_PE_scaff_146	7	27180	3875
ONT_TR_PE_scaff_149	1	697	697
ONT_TR_PE_scaff_151	11	11600	1023
ONT_TR_PE_scaff_153	4	6020	1205
ONT_TR_PE_scaff_154	178	254536	1425
ONT_TR_PE_scaff_159	3	7045	2155
ONT_TR_PE_scaff_160	7	35122	4471
ONT_TR_PE_scaff_161	0	137	140
ONT_TR_PE_scaff_162	4	5433	1329
ONT_TR_PE_scaff_166	1	2793	1704
ONT_TR_PE_scaff_167	0	481	487
