s1	Aphrocallistes_vastus_HiC-scaffold_022	22	1744046	0.021714	73090747	0.909994	-
g	Avas.s022.g1.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	72343403.0	0	0
g	Avas.s022.g2.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	72820688.5	0	0
g	Avas.s022.g3.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71347203.0	0	0
g	Avas.s022.g4.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71348642.0	0	0
g	Avas.s022.g5.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71349656.0	0	0
g	Avas.s022.g6.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71351781.5	0	0
g	Avas.s022.g10.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71367657.5	0	0
g	Avas.s022.g15.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71389811.0	0	0
g	Avas.s022.g16.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71391107.0	0	0
g	Avas.s022.g17.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71396038.0	0	0
g	Avas.s022.g20.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71408088.5	0	0
g	Avas.s022.g26.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71450413.5	0	0
g	Avas.s022.g33.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71465930.0	0	0
g	Avas.s022.g35.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71469799.0	0	0
g	Avas.s022.g35.i2	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71470269.5	0	0
g	Avas.s022.g36.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71471861.5	0	0
g	Avas.s022.g39.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71478348.5	0	0
g	Avas.s022.g41.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71498507.5	0	0
g	Avas.s022.g43.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71506422.5	0	0
g	Avas.s022.g45.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71512709.5	0	0
g	Avas.s022.g47.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71523401.5	0	0
g	Avas.s022.g49.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71543123.5	0	0
g	Avas.s022.g50.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71546952.0	0	0
g	Avas.s022.g62.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71598149.0	0	0
g	Avas.s022.g63.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71600606.5	0	0
g	Avas.s022.g64.i1	Aphrocallistes_vastus_HiC-scaffold_022	NA	NA	71603008.0	0	0
