# BUSCO version is: 5.4.2 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208	Complete	Avas.s005.g389.i1	4032.9	1999
9639at33208	Complete	Avas.s011.g50.i1	2166.1	1779
13816at33208	Complete	Avas.s012.g209.i1	961.4	1430
14776at33208	Missing
16244at33208	Complete	Avas.s046.g10.i1	2488.3	1728
40200at33208	Missing
45934at33208	Complete	Avas.s013.g35.i1	785.5	842
49474at33208	Complete	Avas.s014.g148.i1	887.9	1168
50756at33208	Complete	Avas.s012.g269.i1	757.0	863
56573at33208	Complete	Avas.s010.g565.i1	1077.0	918
57158at33208	Complete	Avas.s008.g485.i1	1705.3	1042
63697at33208	Complete	Avas.s007.g604.i1	1781.5	964
64435at33208	Missing
65302at33208	Complete	Avas.s008.g747.i1	723.1	975
66018at33208	Complete	Avas.s021.g525.i1	1442.9	865
75406at33208	Complete	Avas.s019.g69.i1	476.5	616
76852at33208	Complete	Avas.s019.g119.i1	440.9	808
84980at33208	Complete	Avas.s011.g553.i1	740.3	586
88053at33208	Complete	Avas.s011.g16.i1	418.0	512
92367at33208	Complete	Avas.s003.g1020.i1	256.1	472
99614at33208	Complete	Avas.s022.g205.i1	1291.7	945
99987at33208	Complete	Avas.s024.g69.i1	431.1	576
102804at33208	Complete	Avas.s024.g95.i1	1039.2	892
103854at33208	Complete	Avas.s001.g974.i1	557.1	634
107151at33208	Complete	Avas.s005.g405.i1	1164.2	782
107574at33208	Complete	Avas.s005.g1158.i1	181.0	521
108764at33208	Missing
109109at33208	Complete	Avas.s006.g539.i1	868.9	563
111730at33208	Complete	Avas.s026.g50.i1	332.3	610
111746at33208	Missing
114954at33208	Missing
115878at33208	Complete	Avas.s005.g1045.i1	440.7	411
118209at33208	Complete	Avas.s015.g378.i1	1452.9	849
119252at33208	Complete	Avas.s005.g884.i1	725.9	548
119591at33208	Complete	Avas.s008.g34.i1	1238.9	982
121127at33208	Missing
123923at33208	Complete	Avas.s011.g637.i1	83.1	455
124302at33208	Complete	Avas.s001.g1200.i1	530.9	712
127766at33208	Complete	Avas.s004.g949.i1	361.2	610
129179at33208	Complete	Avas.s023.g101.i1	820.5	576
130245at33208	Complete	Avas.s008.g398.i1	313.7	411
130256at33208	Complete	Avas.s021.g145.i1	592.8	559
131349at33208	Complete	Avas.s011.g548.i1	1255.6	897
131848at33208	Complete	Avas.s007.g343.i1	595.8	533
132087at33208	Complete	Avas.s009.g707.i1	753.6	737
134492at33208	Complete	Avas.s007.g700.i1	769.4	865
135294at33208	Complete	Avas.s019.g126.i1	618.3	512
137383at33208	Complete	Avas.s022.g170.i1	704.7	625
139188at33208	Complete	Avas.s002.g354.i1	395.6	615
143619at33208	Complete	Avas.s006.g556.i1	227.3	288
143997at33208	Complete	Avas.s007.g284.i1	395.3	388
146671at33208	Complete	Avas.s021.g324.i1	698.0	537
147873at33208	Complete	Avas.s010.g600.i1	808.3	565
148067at33208	Complete	Avas.s001.g2013.i1	538.8	821
148325at33208	Complete	Avas.s004.g111.i1	307.7	298
152327at33208	Complete	Avas.s006.g425.i1	365.9	333
152977at33208	Complete	Avas.s018.g84.i1	313.3	448
153034at33208	Complete	Avas.s006.g1047.i1	560.1	495
157109at33208	Complete	Avas.s005.g412.i1	190.3	202
157138at33208	Missing
158845at33208	Complete	Avas.s001.g1302.i1	334.0	445
158962at33208	Complete	Avas.s016.g249.i1	696.4	573
162821at33208	Complete	Avas.s001.g1545.i1	538.8	409
164767at33208	Complete	Avas.s003.g381.i1	682.0	696
166097at33208	Missing
168850at33208	Complete	Avas.s021.g337.i1	681.8	507
168924at33208	Complete	Avas.s008.g23.i1	359.6	594
169864at33208	Complete	Avas.s005.g318.i1	338.2	538
172677at33208	Complete	Avas.s004.g589.i1	148.3	192
176247at33208	Complete	Avas.s004.g163.i1	320.5	352
177718at33208	Complete	Avas.s001.g1818.i1	333.1	390
177858at33208	Complete	Avas.s001.g1111.i1	846.7	584
178537at33208	Complete	Avas.s008.g291.i1	939.3	465
179485at33208	Complete	Avas.s005.g323.i1	481.6	497
180808at33208	Complete	Avas.s005.g1027.i1	748.5	475
182834at33208	Missing
184508at33208	Complete	Avas.s014.g417.i1	281.3	491
184717at33208	Complete	Avas.s005.g646.i1	848.6	518
186208at33208	Complete	Avas.s014.g10.i1	1043.8	706
186707at33208	Missing
187280at33208	Complete	Avas.s001.g1500.i1	677.3	522
189414at33208	Complete	Avas.s022.g68.i1	433.6	551
190726at33208	Complete	Avas.s014.g365.i1	286.3	362
191938at33208	Complete	Avas.s010.g432.i1	270.6	382
192250at33208	Complete	Avas.s003.g707.i1	387.6	321
194754at33208	Complete	Avas.s005.g333.i1	460.0	402
195986at33208	Complete	Avas.s006.g392.i1	747.5	603
196950at33208	Complete	Avas.s014.g96.i1	615.3	592
197549at33208	Complete	Avas.s001.g858.i1	85.5	386
197652at33208	Complete	Avas.s006.g1033.i1	639.0	433
200997at33208	Complete	Avas.s005.g969.i1	409.3	496
201397at33208	Missing
202545at33208	Missing
203128at33208	Duplicated	Avas.s008.g263.i1	806.2	438
203128at33208	Duplicated	Avas.s054.g2.i1	788.0	438
203698at33208	Missing
205220at33208	Complete	Avas.s020.g336.i1	724.6	642
206786at33208	Complete	Avas.s007.g857.i1	381.1	382
206858at33208	Missing
207599at33208	Complete	Avas.s010.g335.i1	362.7	367
208219at33208	Complete	Avas.s008.g97.i1	331.8	462
210614at33208	Complete	Avas.s020.g389.i1	490.8	657
212972at33208	Complete	Avas.s003.g39.i1	401.0	494
214788at33208	Complete	Avas.s001.g1207.i1	384.9	518
215654at33208	Complete	Avas.s001.g1798.i1	477.6	408
216257at33208	Complete	Avas.s001.g1267.i1	229.6	328
216563at33208	Complete	Avas.s008.g715.i1	211.0	291
218441at33208	Complete	Avas.s008.g766.i1	240.6	292
219795at33208	Complete	Avas.s007.g282.i1	417.0	518
219856at33208	Complete	Avas.s013.g291.i1	600.4	394
222489at33208	Complete	Avas.s001.g870.i1	610.1	367
223234at33208	Missing
224280at33208	Complete	Avas.s001.g1061.i1	722.4	439
226335at33208	Complete	Avas.s020.g159.i1	568.3	363
226941at33208	Complete	Avas.s009.g106.i1	501.7	392
227087at33208	Complete	Avas.s001.g1694.i1	774.6	728
227453at33208	Complete	Avas.s004.g338.i1	150.2	356
227979at33208	Complete	Avas.s003.g481.i1	688.3	594
231157at33208	Complete	Avas.s001.g1242.i1	454.7	430
231700at33208	Missing
234290at33208	Duplicated	Avas.s011.g40.i1	576.9	472
234290at33208	Duplicated	Avas.s011.g40.i2	576.7	472
235149at33208	Complete	Avas.s003.g487.i1	223.2	490
235430at33208	Complete	Avas.s021.g334.i1	361.2	352
235458at33208	Complete	Avas.s010.g552.i1	379.8	356
239016at33208	Complete	Avas.s001.g1321.i1	308.3	387
239149at33208	Missing
239597at33208	Complete	Avas.s001.g1197.i1	370.4	503
240437at33208	Complete	Avas.s010.g314.i1	351.2	203
244863at33208	Complete	Avas.s007.g822.i1	286.8	488
245482at33208	Complete	Avas.s003.g352.i1	419.8	403
245567at33208	Complete	Avas.s018.g119.i1	361.1	442
246241at33208	Complete	Avas.s008.g454.i1	457.3	380
247183at33208	Complete	Avas.s012.g380.i1	338.3	582
247905at33208	Missing
249486at33208	Complete	Avas.s001.g1447.i1	413.3	429
251076at33208	Missing
251577at33208	Complete	Avas.s001.g945.i1	205.6	214
255117at33208	Complete	Avas.s006.g521.i1	753.3	717
255242at33208	Complete	Avas.s005.g568.i1	236.3	259
255924at33208	Complete	Avas.s018.g43.i1	532.9	441
257141at33208	Missing
257339at33208	Complete	Avas.s020.g435.i1	213.7	290
259581at33208	Missing
260752at33208	Complete	Avas.s006.g360.i1	330.2	469
261284at33208	Complete	Avas.s001.g1974.i1	408.4	610
261614at33208	Complete	Avas.s001.g616.i1	641.7	519
262757at33208	Complete	Avas.s007.g220.i1	230.0	259
266460at33208	Complete	Avas.s010.g263.i1	513.9	439
266469at33208	Complete	Avas.s021.g347.i1	119.6	191
266808at33208	Complete	Avas.s013.g315.i1	422.4	364
267439at33208	Complete	Avas.s006.g511.i1	665.8	390
268134at33208	Duplicated	Avas.s010.g443.i1	262.5	231
268134at33208	Duplicated	Avas.s010.g449.i1	261.4	227
268397at33208	Complete	Avas.s015.g313.i1	674.2	617
270594at33208	Complete	Avas.s024.g24.i1	296.2	509
271297at33208	Complete	Avas.s020.g307.i1	263.0	232
271742at33208	Complete	Avas.s022.g187.i1	504.0	420
272605at33208	Missing
273040at33208	Complete	Avas.s011.g113.i1	131.9	126
273367at33208	Missing
273989at33208	Complete	Avas.s005.g1081.i1	534.2	479
274044at33208	Complete	Avas.s008.g79.i1	416.2	579
274064at33208	Complete	Avas.s013.g113.i1	391.0	262
274769at33208	Complete	Avas.s001.g738.i1	405.2	380
274992at33208	Complete	Avas.s019.g50.i1	513.4	352
277935at33208	Complete	Avas.s007.g709.i1	419.1	576
278227at33208	Complete	Avas.s017.g39.i1	347.6	350
279631at33208	Complete	Avas.s008.g517.i1	519.4	544
279992at33208	Missing
280914at33208	Complete	Avas.s007.g826.i1	290.5	512
281304at33208	Complete	Avas.s004.g11.i1	189.5	336
281693at33208	Complete	Avas.s005.g853.i1	723.2	592
283637at33208	Complete	Avas.s002.g889.i1	587.2	357
284059at33208	Complete	Avas.s018.g451.i1	304.9	280
285146at33208	Complete	Avas.s023.g87.i1	335.3	313
285902at33208	Complete	Avas.s022.g269.i1	331.5	348
285966at33208	Complete	Avas.s023.g113.i1	282.7	420
286553at33208	Complete	Avas.s023.g216.i1	265.0	262
289235at33208	Complete	Avas.s001.g1575.i1	113.8	213
289928at33208	Complete	Avas.s003.g964.i1	315.3	332
291505at33208	Complete	Avas.s020.g327.i1	487.6	435
291875at33208	Complete	Avas.s016.g319.i1	302.6	437
295556at33208	Missing
295775at33208	Complete	Avas.s004.g193.i1	230.3	267
300303at33208	Complete	Avas.s005.g994.i1	103.6	356
301572at33208	Complete	Avas.s001.g2055.i1	479.6	387
302186at33208	Complete	Avas.s004.g110.i1	105.1	289
302279at33208	Complete	Avas.s009.g438.i1	457.6	302
302921at33208	Complete	Avas.s046.g6.i1	71.1	147
303117at33208	Complete	Avas.s008.g272.i1	302.7	309
304388at33208	Complete	Avas.s001.g564.i1	258.0	331
305260at33208	Complete	Avas.s009.g485.i1	499.4	344
306101at33208	Complete	Avas.s008.g765.i1	330.6	291
307109at33208	Missing
308610at33208	Complete	Avas.s006.g721.i1	344.2	361
311438at33208	Complete	Avas.s003.g596.i1	297.7	254
311758at33208	Complete	Avas.s023.g92.i1	581.6	443
311761at33208	Complete	Avas.s003.g696.i1	133.8	329
312577at33208	Complete	Avas.s001.g1558.i1	186.1	317
313091at33208	Complete	Avas.s008.g70.i1	328.0	276
315044at33208	Complete	Avas.s001.g1622.i1	488.0	411
315393at33208	Complete	Avas.s001.g1118.i1	508.8	327
317470at33208	Complete	Avas.s002.g188.i1	322.6	347
318483at33208	Complete	Avas.s006.g1015.i1	391.7	318
318532at33208	Complete	Avas.s021.g333.i1	577.6	336
319574at33208	Complete	Avas.s007.g852.i1	255.2	240
320390at33208	Complete	Avas.s005.g754.i1	257.0	484
321332at33208	Complete	Avas.s011.g52.i1	200.1	394
323399at33208	Complete	Avas.s001.g1676.i1	501.2	378
323473at33208	Complete	Avas.s013.g379.i1	444.8	285
324249at33208	Complete	Avas.s002.g448.i1	205.8	330
325183at33208	Complete	Avas.s016.g337.i1	490.9	296
327301at33208	Missing
331112at33208	Missing
331186at33208	Complete	Avas.s010.g467.i1	262.3	407
332870at33208	Complete	Avas.s017.g146.i1	118.4	172
333062at33208	Complete	Avas.s001.g848.i1	273.5	359
333800at33208	Missing
334272at33208	Missing
334331at33208	Complete	Avas.s004.g208.i1	522.8	404
334336at33208	Complete	Avas.s006.g461.i1	314.8	401
334342at33208	Complete	Avas.s008.g94.i1	355.7	617
334764at33208	Complete	Avas.s009.g385.i1	364.9	285
334820at33208	Complete	Avas.s001.g1875.i1	373.7	309
335107at33208	Complete	Avas.s010.g450.i1	277.7	252
336647at33208	Complete	Avas.s001.g1332.i1	57.0	323
338191at33208	Complete	Avas.s021.g307.i1	723.0	509
338482at33208	Complete	Avas.s020.g323.i1	319.1	421
339127at33208	Complete	Avas.s020.g403.i1	221.2	360
339319at33208	Complete	Avas.s006.g498.i1	163.0	226
340558at33208	Complete	Avas.s001.g1665.i1	339.8	306
340577at33208	Complete	Avas.s001.g1950.i1	476.2	481
344338at33208	Complete	Avas.s008.g236.i1	256.5	315
344346at33208	Missing
344442at33208	Complete	Avas.s001.g1995.i1	129.3	192
344581at33208	Complete	Avas.s005.g972.i1	297.1	243
344611at33208	Complete	Avas.s001.g1485.i1	176.4	250
345099at33208	Complete	Avas.s014.g710.i1	451.0	644
345959at33208	Complete	Avas.s023.g46.i1	96.9	139
346541at33208	Missing
347600at33208	Complete	Avas.s018.g82.i1	390.0	307
348449at33208	Complete	Avas.s002.g319.i1	152.7	295
348544at33208	Complete	Avas.s007.g741.i1	257.4	321
348761at33208	Complete	Avas.s008.g871.i1	219.6	223
349064at33208	Complete	Avas.s022.g258.i1	291.4	284
349627at33208	Complete	Avas.s008.g9.i1	184.4	261
351226at33208	Complete	Avas.s020.g164.i1	77.3	183
352600at33208	Complete	Avas.s014.g36.i1	484.2	302
352854at33208	Complete	Avas.s006.g1089.i1	320.9	330
353286at33208	Complete	Avas.s011.g339.i1	141.6	256
353768at33208	Missing
354829at33208	Complete	Avas.s003.g1036.i1	447.2	280
354949at33208	Complete	Avas.s006.g307.i1	230.0	296
355210at33208	Complete	Avas.s015.g286.i1	212.4	348
355739at33208	Complete	Avas.s001.g844.i1	95.9	240
356175at33208	Missing
356334at33208	Complete	Avas.s013.g52.i1	572.6	711
356503at33208	Complete	Avas.s005.g930.i1	216.5	261
357580at33208	Complete	Avas.s010.g300.i1	333.6	252
359075at33208	Complete	Avas.s008.g588.i1	361.4	335
359324at33208	Complete	Avas.s003.g190.i1	221.5	208
359369at33208	Complete	Avas.s014.g136.i1	316.9	245
359532at33208	Missing
360379at33208	Missing
360753at33208	Missing
361100at33208	Complete	Avas.s005.g725.i1	330.5	269
361203at33208	Complete	Avas.s013.g407.i1	520.9	385
361216at33208	Missing
363634at33208	Missing
363840at33208	Complete	Avas.s003.g149.i1	115.4	283
363851at33208	Complete	Avas.s020.g346.i1	280.1	294
364383at33208	Complete	Avas.s007.g195.i1	408.7	334
364694at33208	Complete	Avas.s007.g430.i1	526.3	409
365323at33208	Complete	Avas.s005.g923.i1	356.6	295
365561at33208	Missing
365691at33208	Complete	Avas.s005.g806.i1	230.5	224
366124at33208	Complete	Avas.s001.g1175.i1	215.1	235
366814at33208	Complete	Avas.s005.g804.i1	452.7	380
366936at33208	Complete	Avas.s022.g263.i1	374.3	217
367493at33208	Complete	Avas.s014.g111.i1	171.1	331
367551at33208	Complete	Avas.s007.g764.i1	537.8	379
367596at33208	Complete	Avas.s018.g41.i1	539.0	507
367957at33208	Complete	Avas.s005.g384.i1	351.7	291
368565at33208	Complete	Avas.s046.g5.i1	483.3	329
368670at33208	Complete	Avas.s001.g991.i1	126.5	183
368875at33208	Missing
371241at33208	Complete	Avas.s009.g730.i1	174.7	174
371297at33208	Complete	Avas.s005.g508.i1	531.5	328
371526at33208	Complete	Avas.s022.g28.i1	405.4	236
372257at33208	Complete	Avas.s002.g465.i1	223.5	219
372707at33208	Complete	Avas.s002.g181.i1	336.9	243
373040at33208	Fragmented	Avas.s006.g702.i1	328.7	181
376982at33208	Complete	Avas.s004.g61.i1	459.1	251
378033at33208	Missing
378316at33208	Complete	Avas.s004.g86.i1	465.1	276
378768at33208	Complete	Avas.s008.g655.i1	349.7	259
378913at33208	Complete	Avas.s001.g1148.i1	192.7	151
379076at33208	Complete	Avas.s001.g2203.i1	113.4	172
379636at33208	Complete	Avas.s007.g787.i1	247.4	284
379771at33208	Complete	Avas.s005.g832.i1	237.8	233
380583at33208	Complete	Avas.s021.g306.i1	461.9	273
381303at33208	Complete	Avas.s021.g299.i1	109.3	229
382000at33208	Complete	Avas.s002.g129.i1	111.7	244
382262at33208	Complete	Avas.s007.g795.i1	98.0	146
382750at33208	Complete	Avas.s020.g304.i1	354.1	318
383313at33208	Missing
384187at33208	Complete	Avas.s011.g575.i1	533.4	422
386666at33208	Complete	Avas.s020.g461.i1	146.1	198
387079at33208	Complete	Avas.s010.g734.i1	170.7	228
387117at33208	Complete	Avas.s002.g179.i1	128.8	212
387878at33208	Complete	Avas.s014.g256.i1	326.3	329
389367at33208	Missing
389527at33208	Complete	Avas.s001.g1526.i1	547.1	595
389570at33208	Complete	Avas.s001.g1894.i1	418.5	320
389591at33208	Complete	Avas.s007.g723.i1	212.7	215
390192at33208	Complete	Avas.s002.g982.i1	333.3	315
390402at33208	Missing
391896at33208	Complete	Avas.s014.g744.i1	321.8	262
393219at33208	Missing
393291at33208	Complete	Avas.s014.g25.i1	98.9	279
393419at33208	Complete	Avas.s008.g46.i1	444.9	425
393895at33208	Complete	Avas.s007.g516.i1	579.9	394
