scaffold_0023	axis	2664000	2704000	True
Em0023g490a	gene	2656543	2667776	-
Em0023g491a	gene	2667966	2672727	+
Em0023g492a	gene	2673693	2674256	-
Em0023g493a	gene	2677480	2684236	-
Em0023g494a	gene	2684686	2687565	+
Em0023g495a	gene	2692532	2693443	+
Em0023g496a	gene	2693808	2696022	-
Em0023g497a	gene	2696172	2697986	+
Em0023g498a	gene	2697993	2699122	-
Em0023g499a	gene	2699262	2709136	+
